"","sample_subset","crossval_sd","crossval_mean","country","nonresponders","responders"
"1","BS1",0.114559983846847,0.5365,"India","nonresponders","responders"
"2","BS1",0.106566003637713,0.4615,"India (exposed)","nonresponders","responders"
"3","BS1",0.106138607680731,0.5665,"India (unexposed)","nonresponders","responders"
"4","BS1",0.201158587814154,0.426964285714286,"Malawi","nonresponders","responders"
"5","BS2",0.100215676509126,0.5365,"India","nonresponders","responders"
"6","BS2",0.102439930661532,0.531,"India (exposed)","nonresponders","responders"
"7","BS2",0.103549452773027,0.548166666666667,"India (unexposed)","nonresponders","responders"
"8","BS2",0.180378701264338,0.496666666666667,"Malawi","nonresponders","responders"
"9","BS3",0.107313380415313,0.493,"India","nonresponders","responders"
"10","BS3",0.0927960727138337,0.465,"India (exposed)","nonresponders","responders"
"11","BS3",0.104175454174797,0.584,"India (unexposed)","nonresponders","responders"
"12","BS3",0.167908603725967,0.603333333333333,"Malawi","nonresponders","responders"
"13","BS5",0.106480661686202,0.5245,"India","nonresponders","responders"
"14","BS5",0.109723021349858,0.4925,"India (exposed)","nonresponders","responders"
"15","BS5",0.105514139523377,0.598666666666667,"India (unexposed)","nonresponders","responders"
"16","BS5",0.233362852870562,0.5255,"Malawi","nonresponders","responders"
"17","MS1",0.108753265363725,0.479,"India","nonresponders","responders"
"18","MS1",0.108333333333333,0.4825,"India (exposed)","nonresponders","responders"
"19","MS1",0.112558626699354,0.5135,"India (unexposed)","nonresponders","responders"
"20","MS1",0.195808706095301,0.394166666666667,"Malawi","nonresponders","responders"
