"","sample_subset","country","nonresponders","responders","crossval_median","crossval_q1","crossval_q3"
"1","BS1","India","nonresponders","responders",0.5,0.45,0.55
"2","BS1","India (exposed)","nonresponders","responders",0.461842105263158,0.397222222222222,0.555555555555556
"3","BS1","India (unexposed)","nonresponders","responders",0.577380952380952,0.5,0.666666666666667
"4","BS1","Malawi","nonresponders","responders",0.571428571428571,0.428571428571429,0.714285714285714
"5","BS1","UK","nonresponders","responders",0.472222222222222,0.364583333333333,0.555555555555556
"6","BS2","India","nonresponders","responders",0.55,0.5,0.6
"7","BS2","India (exposed)","nonresponders","responders",0.5,0.444444444444444,0.611111111111111
"8","BS2","India (unexposed)","nonresponders","responders",0.5,0.416666666666667,0.583333333333333
"9","BS2","Malawi","nonresponders","responders",0.5,0.333333333333333,0.666666666666667
"10","BS2","UK","nonresponders","responders",0.4,0.333333333333333,0.555555555555556
"11","BS3","India","nonresponders","responders",0.5,0.4,0.55
"12","BS3","India (exposed)","nonresponders","responders",0.5,0.421052631578947,0.555555555555556
"13","BS3","India (unexposed)","nonresponders","responders",0.461538461538462,0.416666666666667,0.546703296703297
"14","BS3","Malawi","nonresponders","responders",0.6,0.4,0.75
"15","BS3","UK","nonresponders","responders",0.5,0.375,0.555555555555556
"16","BS5","India","nonresponders","responders",0.45,0.4,0.55
"17","BS5","India (exposed)","nonresponders","responders",0.45,0.392105263157895,0.55
"18","BS5","India (unexposed)","nonresponders","responders",0.5,0.416666666666667,0.583333333333333
"19","BS5","Malawi","nonresponders","responders",0.666666666666667,0.5,0.75
"20","BS5","UK","nonresponders","responders",0.577777777777778,0.4,0.666666666666667
"21","MS1","India","nonresponders","responders",0.5,0.4,0.6
"22","MS1","India (exposed)","nonresponders","responders",0.555555555555556,0.473684210526316,0.631578947368421
"23","MS1","India (unexposed)","nonresponders","responders",0.5,0.416666666666667,0.591346153846154
"24","MS1","Malawi","nonresponders","responders",0.5,0.364583333333333,0.666666666666667
"25","MS1","UK","nonresponders","responders",0.444444444444444,0.333333333333333,0.555555555555556
