"","sample_subset","crossval_sd","crossval_mean","country","nonresponders","responders"
"1","BS1",0.101249766180052,0.499,"India","nonresponders","responders"
"2","BS1",0.0979291497470829,0.43769298245614,"India (exposed)","nonresponders","responders"
"3","BS1",0.11562253727099,0.519542124542125,"India (unexposed)","nonresponders","responders"
"4","BS1",0.175240335209035,0.502738095238095,"Malawi","nonresponders","responders"
"5","BS1",0.161483361412929,0.381805555555556,"UK","nonresponders","responders"
"6","BS2",0.101228564260401,0.5555,"India","nonresponders","responders"
"7","BS2",0.10359421375623,0.522125730994152,"India (exposed)","nonresponders","responders"
"8","BS2",0.119869457614051,0.545,"India (unexposed)","nonresponders","responders"
"9","BS2",0.160351745794516,0.51,"Malawi","nonresponders","responders"
"10","BS2",0.126064772309945,0.507027777777778,"UK","nonresponders","responders"
"11","BS3",0.117546466204526,0.539,"India","nonresponders","responders"
"12","BS3",0.107396458821971,0.53030701754386,"India (exposed)","nonresponders","responders"
"13","BS3",0.129685532175368,0.514679487179487,"India (unexposed)","nonresponders","responders"
"14","BS3",0.204565181739823,0.487333333333333,"Malawi","nonresponders","responders"
"15","BS3",0.156258879283808,0.464972222222222,"UK","nonresponders","responders"
"16","BS5",0.105240225439254,0.4895,"India","nonresponders","responders"
"17","BS5",0.110216748035618,0.439298245614035,"India (exposed)","nonresponders","responders"
"18","BS5",0.126197963240006,0.53,"India (unexposed)","nonresponders","responders"
"19","BS5",0.227431061569335,0.525833333333333,"Malawi","nonresponders","responders"
"20","BS5",0.147506174295497,0.431055555555556,"UK","nonresponders","responders"
"21","MS1",0.102468275455126,0.5055,"India","nonresponders","responders"
"22","MS1",0.107814292253598,0.486239766081871,"India (exposed)","nonresponders","responders"
"23","MS1",0.119262444883974,0.481126373626374,"India (unexposed)","nonresponders","responders"
"24","MS1",0.180696668767487,0.55452380952381,"Malawi","nonresponders","responders"
"25","MS1",0.155823229995115,0.406416666666667,"UK","nonresponders","responders"
