"","Estimate","Std.Error","pvalue","method","taxon","padj","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Bifidobacterium",0.033,0.046,0.47,"nb","Bifidobacterium",0.772142857142857,"ns",0.112302341724928,23,0,"dose1",0.990686845168801,0.446593884769901
"Escherichia/Shigella",-0.069,0.093,0.46,"zinb","Escherichia/Shigella",0.772142857142857,"ns",0.112302341724928,23,0,"dose1",0.912689173457509,0.141256945992056
"Streptococcus",-0.128,0.112,0.26,"nb","Streptococcus",0.715555555555556,"ns",0.145356642079513,23,0,"dose1",1,0.112856244680567
"Staphylococcus",-0.004,0.167,0.98,"nb","Staphylococcus",0.98,"ns",0.00877392430750515,23,0,"dose1",0.977881257275902,0.0451035192956843
"Bacteroides",-0.231,0.274,0.4,"zinb","Bacteroides",0.772142857142857,"ns",0.112302341724928,23,0,"dose1",0.317811408614668,0.0281365670161652
"Veillonella",-0.326,0.25,0.19,"zinb","Veillonella",0.624285714285714,"ns",0.204616603043835,23,0,"dose1",0.821885913853318,0.0719360378327189
"Lactobacillus",-0.026,0.207,0.9,"zinb","Lactobacillus",0.98,"ns",0.00877392430750515,23,0,"dose1",0.60419091967404,0.031007316516093
"Collinsella",-0.186,0.292,0.52,"zinb","Collinsella",0.792222222222222,"ns",0.101152979587459,23,0,"dose1",0.294528521536671,0.020580407821114
"Haemophilus",-0.172,0.522,0.74,"zinb","Haemophilus",0.851,"ns",0.0700704399154121,23,0,"dose1",0.355064027939465,0.00192380517998923
"Klebsiella",0.267,0.247,0.28,"zinb","Klebsiella",0.715555555555556,"ns",0.145356642079513,23,0,"dose1",0.853317811408615,0.0577622901735231
"Enterococcus",-1.087,0.446,0.015,"zinb","Enterococcus",0.1725,"ns",0.763210900590707,23,0,"dose1",0.674039580908033,0.0197032976357879
"Rothia",-0.258,0.182,0.16,"zinb","Rothia",0.624285714285714,"ns",0.204616603043835,23,0,"dose1",0.785797438882421,0.00236794371310579
"unassigned_Lachnospiraceae",0.434,0.269,0.11,"zinb","unassigned_Lachnospiraceae",0.624285714285714,"ns",0.204616603043835,23,0,"dose1",0.266589057043073,0.00810397728940483
"Gemella",-0.211,0.231,0.36,"zinb","Gemella",0.772142857142857,"ns",0.112302341724928,23,0,"dose1",0.644935972060536,0.000386117420648645
"Enterobacter",-0.42,0.312,0.18,"zinb","Enterobacter",0.624285714285714,"ns",0.204616603043835,23,0,"dose1",0.367869615832363,0.00292820824926405
"Acinetobacter",-0.22,0.295,0.46,"zinb","Acinetobacter",0.772142857142857,"ns",0.112302341724928,23,0,"dose1",0.238649592549476,0.000260418388434854
"Corynebacterium_1",-0.209,0.126,0.099,"zinb","Corynebacterium_1",0.624285714285714,"ns",0.204616603043835,23,0,"dose1",0.656577415599534,0.000221511121404244
"Clostridium_sensu_stricto_1",0.146,0.292,0.62,"zinb","Clostridium_sensu_stricto_1",0.792222222222222,"ns",0.101152979587459,23,0,"dose1",0.315483119906868,0.00671864725534524
"unassigned_Enterobacteriaceae",-0.192,0.33,0.56,"zinb","unassigned_Enterobacteriaceae",0.792222222222222,"ns",0.101152979587459,23,0,"dose1",0.207217694994179,0.00123054822342039
"Actinomyces",0.015,0.332,0.97,"zinb","Actinomyces",0.98,"ns",0.00877392430750515,23,0,"dose1",0.230500582072177,0.000685747621536536
"Finegoldia",0.15,0.431,0.73,"zinb","Finegoldia",0.851,"ns",0.0700704399154121,23,0,"dose1",0.215366705471478,4.32305175816817e-05
"Dolosigranulum",-0.982,0.39,0.012,"zinb","Dolosigranulum",0.1725,"ns",0.763210900590707,23,0,"dose1",0.352735739231665,0.000118523385558974
"Anaerococcus",-0.226,0.441,0.61,"zinb","Anaerococcus",0.792222222222222,"ns",0.101152979587459,23,0,"dose1",0.204889406286379,7.48099006943992e-05
