"","Estimate","Std.Error","pvalue","method","taxon","padj","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Bifidobacterium",-0.004,0.055,0.94,"nb","Bifidobacterium",1,"ns",0,24,0,"either",0.989106753812636,0.445448902223921
"Escherichia/Shigella",0.065,0.194,0.74,"zinb","Escherichia/Shigella",1,"ns",0,24,0,"either",0.930283224400871,0.14224909846332
"Streptococcus",-0.2,0.126,0.11,"nb","Streptococcus",0.768,"ns",0.114638779968488,24,0,"either",1,0.114464035921167
"Staphylococcus",-0.067,0.204,0.74,"nb","Staphylococcus",1,"ns",0,24,0,"either",0.973856209150327,0.0403536660399123
"Bacteroides",-0.151,0.344,0.66,"zinb","Bacteroides",1,"ns",0,24,0,"either",0.311546840958606,0.029968080934719
"Veillonella",0.082,0.271,0.76,"zinb","Veillonella",1,"ns",0,24,0,"either",0.83442265795207,0.0642798263536801
"Lactobacillus",-0.556,0.263,0.036,"zinb","Lactobacillus",0.54,"ns",0.267606240177031,24,0,"either",0.583877995642701,0.0342138706960836
"Collinsella",-0.499,0.396,0.21,"zinb","Collinsella",0.822857142857143,"ns",0.0846755565910449,24,0,"either",0.263616557734205,0.019954460472994
"Haemophilus",0.374,0.606,0.54,"zinb","Haemophilus",1,"ns",0,24,0,"either",0.37037037037037,0.00204042663294346
"Klebsiella",0.073,0.276,0.79,"zinb","Klebsiella",1,"ns",0,24,0,"either",0.875816993464052,0.0556939149570324
"Enterococcus",-0.003,0.466,1,"zinb","Enterococcus",1,"ns",0,24,0,"either",0.729847494553377,0.0245147733982246
"Rothia",-0.178,0.218,0.42,"zinb","Rothia",1,"ns",0,24,0,"either",0.77124183006536,0.00240245057550277
"unassigned_Lachnospiraceae",0.494,0.353,0.16,"zinb","unassigned_Lachnospiraceae",0.768,"ns",0.114638779968488,24,0,"either",0.259259259259259,0.0067650601226167
"Gemella",-0.163,0.277,0.56,"zinb","Gemella",1,"ns",0,24,0,"either",0.642701525054466,0.000356629977492309
"Enterobacter",-0.129,0.338,0.7,"zinb","Enterobacter",1,"ns",0,24,0,"either",0.42483660130719,0.00377089367351407
"Acinetobacter",-0.342,0.237,0.15,"zinb","Acinetobacter",0.768,"ns",0.114638779968488,24,0,"either",0.257080610021787,0.000314789861883216
"Corynebacterium_1",-0.178,0.151,0.24,"zinb","Corynebacterium_1",0.822857142857143,"ns",0.0846755565910449,24,0,"either",0.640522875816993,0.00020799789577629
"Clostridium_sensu_stricto_1",0.17,0.369,0.65,"zinb","Clostridium_sensu_stricto_1",1,"ns",0,24,0,"either",0.326797385620915,0.00787335825812068
"unassigned_Enterobacteriaceae",-0.117,0.412,0.78,"zinb","unassigned_Enterobacteriaceae",1,"ns",0,24,0,"either",0.235294117647059,0.00174752131885164
"Clostridioides",0.015,0.321,0.96,"zinb","Clostridioides",1,"ns",0,24,0,"either",0.239651416122004,0.00237149284488269
"Actinomyces",-0.021,0.314,0.95,"zinb","Actinomyces",1,"ns",0,24,0,"either",0.235294117647059,0.000743111916883627
"Finegoldia",0.09,0.384,0.81,"zinb","Finegoldia",1,"ns",0,24,0,"either",0.217864923747277,2.68992517621123e-05
"Dolosigranulum",-0.93,0.46,0.045,"zinb","Dolosigranulum",0.54,"ns",0.267606240177031,24,0,"either",0.37037037037037,0.000127460025562768
"Anaerococcus",0.074,0.566,0.9,"zinb","Anaerococcus",1,"ns",0,24,0,"either",0.202614379084967,0.00011127818315357
