"","variable","n total (r)","responders","non-responders","RR (95% CI)","p"
"1","sex_baby (female)","164 (65)","28/65 (43.1%)","55/99 (55.6%)","0.74 (0.46-1.07)","0.119"
"2","mode_delivery (caesarean)","164 (65)","18/65 (27.7%)","27/99 (27.3%)","1.01 (0.62-1.45)","0.953"
"3","place_delivery (tertiary)","164 (65)","37/65 (56.9%)","60/99 (60.6%)","0.91 (0.59-1.29)","0.639"
"4","breastfed_child (exclusive)","164 (65)","60/65 (92.3%)","84/99 (84.8%)","1.67 (0.83-2.79)","0.161"
"5","age_at_first_dose","164 (65)","42.5 (1.1)","42.6 (1.7)","0.95 (0.79-1.08)","0.475"
"6","birth_weight","164 (65)","3.0 (0.4)","2.9 (0.4)","1.40 (0.91-1.86)","0.115"
"7","HIV_status","161 (64)",NA,NA,NA,NA
"8","HAZ_6_8w","164 (65)","-0.4 (1.0)","-0.5 (1.1)","1.08 (0.90-1.27)","0.389"
"9","antibiotic_exposure (yes)","164 (65)","18/65 (27.7%)","30/99 (30.3%)","0.93 (0.56-1.34)","0.719"
"10","age_mother","164 (65)","23.7 (3.8)","23.4 (3.8)","1.02 (0.97-1.07)","0.543"
"11","mother_weight","164 (65)","61.6 (10.8)","60.5 (10.6)","1.01 (0.99-1.02)","0.539"
"12","parity","164 (65)","0.7 (0.8)","0.8 (0.9)","0.87 (0.67-1.08)","0.234"
"13","maternal_education","164 (65)","10.6 (3.5)","9.6 (3.7)","1.05 (1.00-1.10)","0.071"
"14","type_house (pucca)","164 (65)","48/65 (73.8%)","70/99 (70.7%)","1.10 (0.69-1.58)","0.662"
"15","water_treat_wami (yes)","155 (61)","27/61 (44.3%)","49/94 (52.1%)","0.83 (0.52-1.19)","0.339"
"16","sanitation (yes)","164 (65)","37/65 (56.9%)","38/99 (38.4%)","1.57 (1.08-2.06)","0.021"
"17","kitchen (yes)","164 (65)","43/65 (66.2%)","73/99 (73.7%)","0.81 (0.50-1.18)","0.297"
"18","refrigerator (yes)","164 (65)","38/65 (58.5%)","63/99 (63.6%)","0.88 (0.56-1.25)","0.505"
"19","crowding_wami (over_4)","164 (65)","34/65 (52.3%)","44/99 (44.4%)","1.21 (0.81-1.64)","0.325"
"20","household_income","164 (65)","8690.0 (7821.0-9655.6)","7710.2 (6777.5-8771.2)","1.24 (0.89-1.60)","0.191"
"21","A1AT_BS3_Concugml","161 (63)","714.0 (597.4-853.4)","709.7 (615.7-817.9)","1.01 (0.75-1.29)","0.957"
"22","A1AT_BS5_Concugml","160 (62)","786.1 (593.8-1040.6)","751.9 (640.5-882.7)","1.03 (0.83-1.26)","0.767"
"23","MPO_BS3_Concngml","161 (63)","5490.9 (3824.7-7882.9)","7095.7 (5191.0-9699.3)","0.93 (0.81-1.06)","0.293"
"24","MPO_BS5_Concngml","160 (62)","5586.0 (3829.0-8149.2)","7222.4 (5321.9-9801.6)","0.93 (0.81-1.06)","0.294"
"25","AG_Concugml","163 (65)","716.5 (675.9-759.5)","712.4 (675.9-750.8)","1.06 (0.43-1.80)","0.885"
"26","MB1_IgA","164 (65)","101.8 (81.0-127.9)","158.9 (132.0-191.3)","0.70 (0.53-0.89)","0.004"
"27","BM1_IgA","161 (65)","21.0 (15.8-27.7)","26.3 (20.6-33.7)","0.90 (0.74-1.06)","0.232"
"28","MB1_IgG","164 (65)","7714.7 (5968.4-9971.9)","11052.7 (9210.5-13263.4)","0.78 (0.61-0.96)","0.023"
"29","CB1_IgG","164 (65)","11734.0 (9204.9-14957.8)","14695.6 (12429.6-17374.6)","0.84 (0.65-1.04)","0.120"
"30","BB1_IgG","164 (65)","9705.6 (7921.5-11891.5)","9309.1 (7853.2-11034.9)","1.04 (0.82-1.27)","0.754"
"31","Shannon_6w","152 (60)","1.3 (0.4)","1.3 (0.4)","1.10 (0.62-1.64)","0.701"
"32","Observed_6w","152 (60)","9.4 (3.1)","9.8 (3.6)","0.82 (0.39-1.41)","0.528"
"33","Shannon_10w","158 (61)","1.4 (0.3)","1.3 (0.3)","1.33 (0.74-1.92)","0.302"
"34","Observed_10w","158 (61)","10.8 (3.7)","9.9 (3.3)","1.49 (0.88-2.05)","0.125"
