"","variable","n","level 1","level 2","pearson","beta (95% CI)","p"
"1","sex_baby","138","male (n = 74), 5.7 (4.1-8.0)","female (n = 64), 6.1 (4.1-9.2)",NA,"1.08 (0.64-1.81)","0.775"
"2","mode_delivery","138","vaginal (n = 115), 5.0 (3.8-6.6)","caesarean (n = 23), 13.0 (6.7-25.4)",NA,"2.58 (1.31-5.06)","0.006"
"3","place_delivery","138","non_tertiary (n = 108), 5.1 (3.9-6.8)","tertiary (n = 30), 9.9 (5.4-18.2)",NA,"1.93 (1.04-3.58)","0.036"
"4","breastfed_child","138","nonexclusive (n = 20), 5.6 (3.1-10.1)","exclusive (n = 118), 5.9 (4.5-7.9)",NA,"1.06 (0.51-2.20)","0.883"
"5","age_at_first_dose","138",NA,NA,"-0.046","0.94 (0.75-1.18)","0.595"
"6","birth_weight","138",NA,NA,"0.165","1.76 (0.99-3.11)","0.054"
"7","HIV_status","133",NA,NA,NA,NA,NA
"8","HAZ_6_8w","137",NA,NA,"0.163","1.25 (0.99-1.57)","0.057"
"9","antibiotic_exposure","138","no (n = 102), 5.8 (4.3-7.9)","yes (n = 36), 6.2 (3.8-10.2)",NA,"1.08 (0.60-1.94)","0.803"
"10","age_mother","138",NA,NA,"-0.004","1.00 (0.93-1.07)","0.964"
"11","mother_weight","138",NA,NA,"-0.029","1.00 (0.97-1.02)","0.734"
"12","parity","138",NA,NA,"-0.073","0.88 (0.66-1.18)","0.393"
"13","maternal_education","138",NA,NA,"0.017","1.01 (0.94-1.08)","0.843"
"14","type_house","138","kutcha_mixed (n = 60), 4.2 (2.9-6.0)","pucca (n = 78), 7.7 (5.4-11.0)",NA,"1.84 (1.11-3.07)","0.019"
"15","water_treat_wami","130","no (n = 77), 4.1 (3.0-5.7)","yes (n = 53), 8.4 (5.6-12.8)",NA,"2.04 (1.22-3.42)","0.007"
"16","sanitation","138","no (n = 79), 6.5 (4.6-9.2)","yes (n = 59), 5.2 (3.5-7.7)",NA,"0.80 (0.47-1.34)","0.386"
"17","kitchen","138","no (n = 49), 5.3 (3.4-8.2)","yes (n = 89), 6.3 (4.5-8.7)",NA,"1.19 (0.69-2.04)","0.527"
"18","refrigerator","138","no (n = 69), 5.1 (3.6-7.4)","yes (n = 69), 6.8 (4.7-9.8)",NA,"1.33 (0.79-2.22)","0.276"
"19","crowding_wami","138","up_to_4 (n = 70), 5.8 (4.1-8.3)","over_4 (n = 68), 6.0 (4.0-8.8)",NA,"1.02 (0.61-1.72)","0.929"
"20","household_income","138",NA,NA,"-0.052","0.88 (0.58-1.34)","0.543"
"21","A1AT_BS3_Concugml","136",NA,NA,"-0.100","0.81 (0.57-1.16)","0.248"
"22","A1AT_BS5_Concugml","134",NA,NA,"-0.010","0.98 (0.71-1.36)","0.907"
"23","MPO_BS3_Concngml","136",NA,NA,"-0.118","0.89 (0.75-1.05)","0.170"
"24","MPO_BS5_Concngml","134",NA,NA,"-0.124","0.88 (0.73-1.05)","0.154"
"25","AG_Concugml","138",NA,NA,"0.004","1.03 (0.36-2.89)","0.962"
"26","MB1_IgA","138",NA,NA,"-0.093","0.88 (0.69-1.11)","0.278"
"27","BM1_IgA","137",NA,NA,"-0.160","0.83 (0.68-1.01)","0.062"
"28","MB1_IgG","138",NA,NA,"-0.164","0.78 (0.61-1.00)","0.054"
"29","CB1_IgG","138",NA,NA,"-0.121","0.84 (0.67-1.07)","0.158"
"30","BB1_IgG","138",NA,NA,"-0.113","0.85 (0.66-1.08)","0.186"
"31","Shannon_6w","132",NA,NA,"-0.169","0.53 (0.28-1.01)","0.053"
"32","Observed_6w","132",NA,NA,"-0.180","0.50 (0.26-0.97)","0.039"
"33","Shannon_10w","120",NA,NA,"-0.043","0.82 (0.36-1.89)","0.639"
"34","Observed_10w","120",NA,NA,"-0.095","0.65 (0.29-1.48)","0.302"
