"","variable","n total (r)","responders","non-responders","RR (95% CI)","p"
"1","sex_baby (female)","138 (34)","17/34 (50.0%)","47/104 (45.2%)","1.16 (0.62-1.92)","0.62578"
"2","mode_delivery (caesarean)","138 (34)","10/34 (29.4%)","13/104 (12.5%)","2.08 (1.09-3.18)","0.02548"
"3","place_delivery (tertiary)","138 (34)","11/34 (32.4%)","19/104 (18.3%)","1.72 (0.90-2.72)","0.08801"
"4","breastfed_child (exclusive)","138 (34)","31/34 (91.2%)","87/104 (83.7%)","1.75 (0.66-4.10)","0.28720"
"5","age_at_first_dose","138 (34)","42.7 (1.1)","42.6 (1.2)","1.08 (0.83-1.34)","0.53951"
"6","birth_weight","138 (34)","3.0 (0.3)","2.9 (0.5)","1.41 (0.74-2.31)","0.27768"
"7","HIV_status","133 (33)",NA,NA,NA,NA
"8","HAZ_6_8w","137 (33)","-0.3 (1.0)","-0.5 (1.1)","1.17 (0.90-1.50)","0.24678"
"9","antibiotic_exposure (yes)","138 (34)","10/34 (29.4%)","26/104 (25.0%)","1.18 (0.58-2.01)","0.61145"
"10","age_mother","138 (34)","23.4 (3.5)","23.4 (3.8)","1.00 (0.92-1.08)","0.98013"
"11","mother_weight","138 (34)","60.6 (7.9)","61.4 (11.2)","0.99 (0.96-1.02)","0.68790"
"12","parity","138 (34)","0.9 (0.9)","1.0 (0.9)","0.91 (0.63-1.25)","0.58032"
"13","maternal_education","138 (34)","10.1 (3.8)","9.7 (3.6)","1.03 (0.95-1.11)","0.52917"
"14","type_house (pucca)","138 (34)","23/34 (67.6%)","55/104 (52.9%)","1.61 (0.86-2.69)","0.13472"
"15","water_treat_wami (yes)","130 (31)","17/31 (54.8%)","36/99 (36.4%)","1.76 (0.95-2.86)","0.07068"
"16","sanitation (yes)","138 (34)","12/34 (35.3%)","47/104 (45.2%)","0.73 (0.36-1.29)","0.31280"
"17","kitchen (yes)","138 (34)","22/34 (64.7%)","67/104 (64.4%)","1.01 (0.53-1.76)","0.97613"
"18","refrigerator (yes)","138 (34)","19/34 (55.9%)","50/104 (48.1%)","1.27 (0.68-2.10)","0.43024"
"19","crowding_wami (over_4)","138 (34)","17/34 (50.0%)","51/104 (49.0%)","1.03 (0.55-1.73)","0.92245"
"20","household_income","138 (34)","6352.6 (5106.2-7903.3)","7914.0 (7036.3-8901.2)","0.59 (0.30-1.02)","0.07237"
"21","A1AT_BS3_Concugml","136 (33)","729.2 (562.0-946.3)","763.5 (660.5-882.5)","0.94 (0.60-1.38)","0.75501"
"22","A1AT_BS5_Concugml","134 (33)","922.4 (682.6-1246.4)","864.2 (740.4-1008.7)","1.08 (0.74-1.53)","0.68271"
"23","MPO_BS3_Concngml","136 (33)","5081.4 (2912.7-8864.7)","7007.0 (5215.0-9414.7)","0.90 (0.72-1.09)","0.29253"
"24","MPO_BS5_Concngml","134 (33)","6815.4 (4325.0-10739.6)","9193.9 (6889.2-12269.7)","0.89 (0.71-1.10)","0.29343"
"25","AG_Concugml","138 (34)","719.5 (662.0-782.0)","737.8 (702.2-775.2)","0.72 (0.17-2.05)","0.61046"
"26","MB1_IgA","138 (34)","143.4 (98.3-209.1)","136.2 (110.2-168.2)","1.03 (0.78-1.34)","0.80922"
"27","BM1_IgA","137 (33)","24.0 (16.4-35.0)","28.9 (22.2-37.6)","0.91 (0.70-1.15)","0.47175"
"28","MB1_IgG","138 (34)","9836.7 (6983.2-13856.2)","10693.6 (8759.9-13054.2)","0.94 (0.69-1.25)","0.67521"
"29","CB1_IgG","138 (34)","14459.7 (10378.8-20145.4)","14219.8 (11384.3-17761.4)","1.01 (0.77-1.33)","0.93816"
"30","BB1_IgG","138 (34)","5433.5 (3838.6-7691.1)","5853.4 (4754.4-7206.6)","0.95 (0.71-1.25)","0.71846"
"31","Shannon_1w","131 (32)","1.1 (0.4)","1.3 (0.3)","0.31 (0.10-0.82)","0.01923"
"32","Shannon_4w","128 (30)","1.0 (0.4)","1.2 (0.4)","0.25 (0.08-0.64)","0.00430"
"33","Shannon_6w","132 (33)","1.1 (0.4)","1.3 (0.4)","0.37 (0.13-0.87)","0.02406"
"34","Shannon_10w","120 (30)","1.4 (0.3)","1.4 (0.3)","1.00 (0.35-2.17)","0.99722"
