"","variable","n total (r)","responders","non-responders","RR (95% CI)","p"
"1","sex_baby (female)","72 (50)","25/50 (50.0%)","13/22 (59.1%)","0.89 (0.55-1.14)","0.478"
"2","mode_delivery","72 (50)",NA,NA,NA,NA
"3","place_delivery","0 (0)",NA,NA,NA,NA
"4","breastfed_child (exclusive)","72 (50)","43/50 (86.0%)","20/22 (90.9%)","0.88 (0.30-1.17)","0.565"
"5","age_at_first_dose","68 (46)","42.0 (0.9)","42.1 (0.3)","0.92 (0.55-1.14)","0.575"
"6","birth_weight","72 (50)","3.1 (0.4)","3.1 (0.5)","1.03 (0.64-1.29)","0.850"
"7","HIV_status (positive)","71 (50)","11/50 (22.0%)","8/21 (38.1%)","0.77 (0.42-1.08)","0.167"
"8","HAZ_6_8w","68 (46)","-2.4 (1.2)","-2.5 (1.8)","1.01 (0.89-1.13)","0.818"
"9","antibiotic_exposure (yes)","72 (50)","14/50 (28.0%)","9/22 (40.9%)","0.83 (0.48-1.11)","0.282"
"10","age_mother","72 (50)","26.5 (6.0)","28.7 (6.1)","0.98 (0.95-1.01)","0.165"
"11","mother_weight","0 (0)",NA,NA,NA,NA
"12","parity","0 (0)",NA,NA,NA,NA
"13","maternal_education","0 (0)",NA,NA,NA,NA
"14","type_house","0 (0)",NA,NA,NA,NA
"15","water_treat_wami","0 (0)",NA,NA,NA,NA
"16","sanitation","0 (0)",NA,NA,NA,NA
"17","kitchen","0 (0)",NA,NA,NA,NA
"18","refrigerator","0 (0)",NA,NA,NA,NA
"19","crowding_wami","0 (0)",NA,NA,NA,NA
"20","household_income","0 (0)",NA,NA,NA,NA
"21","A1AT_BS3_Concugml","54 (35)","3412.2 (1777.1-6551.6)","5366.7 (3133.6-9191.4)","0.93 (0.76-1.06)","0.345"
"22","A1AT_BS5_Concugml","44 (28)","8552.1 (5586.7-13091.5)","7885.4 (4037.5-15400.4)","1.02 (0.82-1.21)","0.819"
"23","MPO_BS3_Concngml","54 (35)","3286.9 (2367.0-4564.3)","3214.0 (2084.5-4955.7)","1.01 (0.78-1.21)","0.932"
"24","MPO_BS5_Concngml","44 (28)","3694.8 (2596.9-5256.8)","4537.9 (2257.7-9121.1)","0.93 (0.70-1.14)","0.536"
"25","AG_Concugml","55 (36)","523.3 (426.8-641.7)","557.5 (418.6-742.6)","0.94 (0.57-1.23)","0.705"
"26","MB1_IgA","61 (41)","275.2 (186.5-405.9)","516.1 (312.0-853.6)","0.80 (0.57-0.99)","0.060"
"27","BM1_IgA","42 (29)","86.9 (72.3-104.5)","121.6 (72.7-203.4)","0.70 (0.32-1.06)","0.126"
"28","MB1_IgG","0 (0)",NA,NA,NA,NA
"29","CB1_IgG","0 (0)",NA,NA,NA,NA
"30","BB1_IgG","0 (0)",NA,NA,NA,NA
"31","Shannon_6w","43 (27)","1.3 (0.4)","1.4 (0.3)","0.67 (0.18-1.24)","0.302"
"32","Observed_6w","43 (27)","12.1 (5.2)","13.2 (4.5)","0.65 (0.17-1.25)","0.292"
"33","Shannon_10w","42 (30)","1.4 (0.4)","1.4 (0.3)","1.05 (0.49-1.33)","0.820"
"34","Observed_10w","42 (30)","13.3 (6.6)","11.2 (4.0)","1.21 (0.74-1.37)","0.315"
"35","pre_exposed (yes)","53 (35)","2/35 (5.7%)","2/18 (11.1%)",NA,NA
