"","variable","n total (r)","responders","non-responders","RR (95% CI)","p"
"1","sex_baby (female)","103 (24)","14/24 (58.3%)","39/79 (49.4%)","1.32 (0.63-2.40)","0.443"
"2","mode_delivery","103 (24)",NA,NA,NA,NA
"3","place_delivery","0 (0)",NA,NA,NA,NA
"4","breastfed_child (exclusive)","103 (24)","20/24 (83.3%)","73/79 (92.4%)","0.54 (0.17-1.34)","0.199"
"5","age_at_first_dose","103 (24)","42.1 (0.5)","42.0 (0.7)","1.14 (0.67-2.04)","0.655"
"6","birth_weight","103 (24)","3.0 (0.3)","3.0 (0.5)","0.66 (0.24-1.50)","0.358"
"7","HIV_status (positive)","100 (23)","5/23 (21.7%)","16/77 (20.8%)","1.04 (0.37-2.11)","0.921"
"8","HAZ_6_8w","103 (24)","-2.5 (1.0)","-2.5 (1.3)","1.01 (0.73-1.32)","0.964"
"9","antibiotic_exposure (yes)","103 (24)","7/24 (29.2%)","20/79 (25.3%)","1.16 (0.48-2.17)","0.707"
"10","age_mother","103 (24)","26.6 (4.0)","25.9 (6.0)","1.02 (0.95-1.08)","0.589"
"11","mother_weight","0 (0)",NA,NA,NA,NA
"12","parity","0 (0)",NA,NA,NA,NA
"13","maternal_education","0 (0)",NA,NA,NA,NA
"14","type_house","0 (0)",NA,NA,NA,NA
"15","water_treat_wami","0 (0)",NA,NA,NA,NA
"16","sanitation","0 (0)",NA,NA,NA,NA
"17","kitchen","0 (0)",NA,NA,NA,NA
"18","refrigerator","0 (0)",NA,NA,NA,NA
"19","crowding_wami","0 (0)",NA,NA,NA,NA
"20","household_income","0 (0)",NA,NA,NA,NA
"21","A1AT_BS3_Concugml","78 (16)","4861.9 (2350.7-10055.8)","4189.4 (2783.4-6305.9)","1.05 (0.79-1.43)","0.731"
"22","A1AT_BS5_Concugml","53 (12)","14642.0 (5480.0-39121.9)","7233.7 (4810.4-10877.6)","1.32 (0.93-1.82)","0.122"
"23","MPO_BS3_Concngml","78 (16)","3043.0 (1690.4-5477.9)","2925.5 (2384.4-3589.5)","1.04 (0.59-1.63)","0.871"
"24","MPO_BS5_Concngml","53 (12)","4518.6 (2030.6-10055.0)","4182.7 (2828.8-6184.5)","1.04 (0.66-1.49)","0.847"
"25","AG_Concugml","87 (19)","502.3 (388.6-649.2)","523.8 (447.1-613.7)","0.92 (0.45-1.67)","0.796"
"26","MB1_IgA","103 (24)","206.9 (111.5-383.9)","395.8 (287.9-544.1)","0.80 (0.61-1.01)","0.066"
"27","BM1_IgA","78 (16)","79.7 (62.3-102.0)","102.0 (85.6-121.6)","0.55 (0.19-1.20)","0.185"
"28","MB1_IgG","0 (0)",NA,NA,NA,NA
"29","CB1_IgG","0 (0)",NA,NA,NA,NA
"30","BB1_IgG","0 (0)",NA,NA,NA,NA
"31","Shannon_6w","66 (12)","1.1 (0.3)","1.4 (0.4)","0.10 (0.01-0.54)","0.009"
"32","Observed_6w","66 (12)","10.2 (4.2)","12.6 (4.4)","0.17 (0.02-0.99)","0.063"
"33","Shannon_10w","53 (9)",NA,NA,NA,NA
"34","Observed_10w","53 (9)",NA,NA,NA,NA
"35","pre_exposed (yes)","90 (21)","4/21 (19.0%)","6/69 (8.7%)","1.88 (0.63-3.40)","0.197"
