"","mean","sd","crossval_mean","crossval_sd","module"
"MB1_IgA",0.300666635548276,0.529671706574014,0.545,0.128216199988121,"module4_exposed"
"MB1_IgG",0.185441880115153,0.341415518352053,0.545,0.128216199988121,"module4_exposed"
"CB1_IgG",0.161271724223558,0.291736282454511,0.545,0.128216199988121,"module4_exposed"
"AG_Concugml",0.160034211968005,0.28930918517123,0.545,0.128216199988121,"module4_exposed"
"MPO_BS5_Concngml",0.155595893604531,0.276199772645037,0.545,0.128216199988121,"module4_exposed"
"BM1_IgA",0.144326284813993,0.265275849129547,0.545,0.128216199988121,"module4_exposed"
"Escherichia.Shigella",0.135225285186102,0.249839644276331,0.545,0.128216199988121,"module4_exposed"
"Staphylococcus",0.127940771704689,0.231049598318559,0.545,0.128216199988121,"module4_exposed"
"A1AT_BS3_Concugml",0.125657041607971,0.227887986040877,0.545,0.128216199988121,"module4_exposed"
"Lactobacillus",0.124679333895719,0.240513726370239,0.545,0.128216199988121,"module4_exposed"
"HAZ_6_8w",0.122002181767816,0.219513141238043,0.545,0.128216199988121,"module4_exposed"
"A1AT_BS5_Concugml",0.115356377156708,0.20578872738029,0.545,0.128216199988121,"module4_exposed"
"mother_weight",0.111404426826596,0.205259046538833,0.545,0.128216199988121,"module4_exposed"
"age_mother",0.110805654960942,0.206880872273576,0.545,0.128216199988121,"module4_exposed"
"Veillonella",0.110660763203715,0.199830072431729,0.545,0.128216199988121,"module4_exposed"
"birth_weight",0.109915507893342,0.203978056505682,0.545,0.128216199988121,"module4_exposed"
"Bifidobacterium",0.107680736261357,0.192922119797943,0.545,0.128216199988121,"module4_exposed"
"Streptococcus",0.106871314851851,0.191216274739373,0.545,0.128216199988121,"module4_exposed"
"Klebsiella",0.103519650477424,0.188364120958974,0.545,0.128216199988121,"module4_exposed"
"MPO_BS3_Concngml",0.101860133568794,0.18229263692834,0.545,0.128216199988121,"module4_exposed"
"household_income",0.0974584601029318,0.180392633753748,0.545,0.128216199988121,"module4_exposed"
"Corynebacterium_1",0.0973123479905436,0.192539404618676,0.545,0.128216199988121,"module4_exposed"
"Rothia",0.0924591159888264,0.174896471433218,0.545,0.128216199988121,"module4_exposed"
"Enterococcus",0.0913018585420914,0.172978874631202,0.545,0.128216199988121,"module4_exposed"
"maternal_education",0.0909765083605059,0.165395825012648,0.545,0.128216199988121,"module4_exposed"
"Gemella",0.0820915282375652,0.154800364088332,0.545,0.128216199988121,"module4_exposed"
"Enterobacter",0.0819887900304415,0.153419793814642,0.545,0.128216199988121,"module4_exposed"
"Dolosigranulum",0.0811835068359876,0.1528767081362,0.545,0.128216199988121,"module4_exposed"
"OPV_IPV",0.0754518296083446,0.137173185193576,0.545,0.128216199988121,"module4_exposed"
"Bacteroides",0.0551546561691105,0.101357943087847,0.545,0.128216199988121,"module4_exposed"
"Haemophilus",0.0482997252891627,0.089255507814234,0.545,0.128216199988121,"module4_exposed"
"Actinomyces",0.0476365503665052,0.0916819820067062,0.545,0.128216199988121,"module4_exposed"
"Acinetobacter",0.0473321082065581,0.107458327351075,0.545,0.128216199988121,"module4_exposed"
"type_house",0.0471987702810556,0.11473164439915,0.545,0.128216199988121,"module4_exposed"
"unassigned_Lachnospiraceae",0.0442766557963023,0.0797388421977308,0.545,0.128216199988121,"module4_exposed"
"Collinsella",0.0423986169858857,0.0787993079289462,0.545,0.128216199988121,"module4_exposed"
"Clostridium_sensu_stricto_1",0.0423044625773814,0.0863885503907738,0.545,0.128216199988121,"module4_exposed"
"age_at_first_dose",0.035300277569505,0.0706392739071508,0.545,0.128216199988121,"module4_exposed"
"Clostridioides",0.0340913446267949,0.0722995093586354,0.545,0.128216199988121,"module4_exposed"
"parity",0.0327249143745922,0.0614796202574783,0.545,0.128216199988121,"module4_exposed"
"Finegoldia",0.0308123414548255,0.0590672310615421,0.545,0.128216199988121,"module4_exposed"
"sanitation",0.0302253938237415,0.0601052655812006,0.545,0.128216199988121,"module4_exposed"
"Eggerthella",0.0300827693214565,0.0560189575157685,0.545,0.128216199988121,"module4_exposed"
"Atopobium",0.0294967551881837,0.0550682224132404,0.545,0.128216199988121,"module4_exposed"
