"","mean","sd","crossval_mean","crossval_sd","module"
"MB1_IgA",0.452345476332019,0.791217966560163,0.4785,0.0990497783231168,"module4_exposed"
"MB1_IgG",0.284372332587579,0.50684408830607,0.4785,0.0990497783231168,"module4_exposed"
"Veillonella",0.278008463886892,0.493095037829894,0.4785,0.0990497783231168,"module4_exposed"
"Escherichia.Shigella",0.277824245206495,0.497935223201643,0.4785,0.0990497783231168,"module4_exposed"
"HAZ_6_8w",0.270785073628455,0.485970093761242,0.4785,0.0990497783231168,"module4_exposed"
"Streptococcus",0.264980550772441,0.471361606098389,0.4785,0.0990497783231168,"module4_exposed"
"Klebsiella",0.26075086696544,0.46228783270726,0.4785,0.0990497783231168,"module4_exposed"
"MPO_BS3_Concngml",0.252582812487073,0.445740845455154,0.4785,0.0990497783231168,"module4_exposed"
"birth_weight",0.25255316740718,0.455750035294098,0.4785,0.0990497783231168,"module4_exposed"
"MPO_BS5_Concngml",0.250739000593588,0.440833605211399,0.4785,0.0990497783231168,"module4_exposed"
"AG_Concugml",0.249315480808812,0.440424874341699,0.4785,0.0990497783231168,"module4_exposed"
"Bifidobacterium",0.240749362841925,0.425108900578337,0.4785,0.0990497783231168,"module4_exposed"
"Staphylococcus",0.24010964128349,0.421114538330551,0.4785,0.0990497783231168,"module4_exposed"
"CB1_IgG",0.233135040503229,0.412359556557801,0.4785,0.0990497783231168,"module4_exposed"
"Lactobacillus",0.232191188929565,0.421128595476383,0.4785,0.0990497783231168,"module4_exposed"
"BM1_IgA",0.231896094403689,0.411682971766271,0.4785,0.0990497783231168,"module4_exposed"
"A1AT_BS3_Concugml",0.230983295963793,0.408583283256024,0.4785,0.0990497783231168,"module4_exposed"
"A1AT_BS5_Concugml",0.225018405950143,0.396422526446712,0.4785,0.0990497783231168,"module4_exposed"
"household_income",0.223137814706722,0.398049933541872,0.4785,0.0990497783231168,"module4_exposed"
"Enterobacter",0.21401036410527,0.385268595474375,0.4785,0.0990497783231168,"module4_exposed"
"mother_weight",0.211863135503126,0.37305498863086,0.4785,0.0990497783231168,"module4_exposed"
"Enterococcus",0.210992004062919,0.376477303454673,0.4785,0.0990497783231168,"module4_exposed"
"Rothia",0.198132257352684,0.353057859182281,0.4785,0.0990497783231168,"module4_exposed"
"Dolosigranulum",0.190666060491277,0.37257125531907,0.4785,0.0990497783231168,"module4_exposed"
"age_mother",0.182008221370224,0.321078639841167,0.4785,0.0990497783231168,"module4_exposed"
"Corynebacterium_1",0.178028726267233,0.325631905477248,0.4785,0.0990497783231168,"module4_exposed"
"maternal_education",0.16425939373774,0.289735208186128,0.4785,0.0990497783231168,"module4_exposed"
"OPV_IPV",0.142019390741528,0.260304704770257,0.4785,0.0990497783231168,"module4_exposed"
"Gemella",0.14050387369464,0.249367849130396,0.4785,0.0990497783231168,"module4_exposed"
"Actinomyces",0.128368998306566,0.235781496954418,0.4785,0.0990497783231168,"module4_exposed"
"Haemophilus",0.0994486858751185,0.176252689490854,0.4785,0.0990497783231168,"module4_exposed"
"Bacteroides",0.0943012448629776,0.170426949438243,0.4785,0.0990497783231168,"module4_exposed"
"Clostridium_sensu_stricto_1",0.0942307437283302,0.174876111380306,0.4785,0.0990497783231168,"module4_exposed"
"unassigned_Lachnospiraceae",0.0887616319707707,0.161061980665837,0.4785,0.0990497783231168,"module4_exposed"
"Collinsella",0.0875816152881962,0.157968381406562,0.4785,0.0990497783231168,"module4_exposed"
"Salmonella",0.0835490213058825,0.160876717854155,0.4785,0.0990497783231168,"module4_exposed"
"Megasphaera",0.0790662771926839,0.15071197173977,0.4785,0.0990497783231168,"module4_exposed"
