"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","IncMSE_means","IncMSE_sds"
"Escherichia.Shigella",0.0254688414547941,0.0502471587182094,0.103085338601073,0.00104841287115419,0.024757963691822,0.0101527048581849,-0.0242517157977443,0.0214807825460652,0.0781322302792867,0.0178062015161738,0.0352629550967373,-0.0106583617990502,0.0147792225969578,0.120374475711893,0.0298447166347832,-0.00337595780140032,0.0301436612682797,-0.00486332267981015,0.199428403715331,-0.00139327403035416,-0.00554215034425118,0.037469066137089,-0.000256094915830976,0.0954009246914731,-0.00203527866082327,0.0272526216508515,-0.00611336303539045,0.000474650227207146,0.0153399559739327,0.0478397107839262,0.0012591666943768,0.0107237842998575,0.0504223027624508,0.0146421785737396,0.023937847351783,0.0440602091847357,0.049838812451978,-0.00544546255158269,0.0296797135866025,-0.0059820737752985,-0.0122936417119482,0.0511573872098473,0.0337713966766335,0.0461294094566075,-0.00876776667324962,-0.00398044613295029,0.0168766141815792,-0.0134647599738385,0.06843220697722,0.0368339104232301,0.020326557137489,0.0192319767392439,-0.0181076489099001,0.0448490536362653,0.0785340601381224,0.0153280273536058,-0.00858646394000852,0.0158440847187014,-0.000706187019260571,0.09880967929278,0.0166753892501599,0.0289485324878254,0.0115835825104931,0.00637140314598978,0.0884352374887437,0.010422763903068,0.0411132121157634,0.00461221961651025,0.0202672418106733,0.0109693936982554,0.0369696636264825,0.0337523225436249,0.021935636013937,0.0390599109476906,-0.00137895416246814,0.101097468077708,0.00801316438257706,0.0136216040752659,0.00558512261617987,-0.0104846668587175,0.00325394260618273,-0.00113166487027632,0.0488969569217462,-0.0109021225229835,0.13419687643755,0.0177227603477386,0.0512748409487521,0.065581612411962,-0.00159928842073442,0.0203165461168401,0.0588967065108676,0.00468445481163887,0.0645566958053272,0.0179335229973256,0.0200598037371594,0.0974358840640449,0.0642802848344959,0.00393094857984921,-0.000366971826213567,0.000262346967700107,0.0301281140058979,0.0402699611824295
"Streptococcus",0.00465611307408811,0.0203219298828492,0.0131615955408046,0.0238382275592817,0.000101649050686912,0.00803251823383117,0.0103707256178728,-0.00376042567637009,0.0620362106776021,0.01604886650089,0.000805849662882421,0.010693663246894,0.0197333614510042,-0.00977188123780464,0.102109800625202,-0.00200554723177273,0.0339064279711256,0.0058005418799119,0.0483821234968567,-0.00322855312960414,-0.00370222756172684,0.0304553841707455,0.0355182354844027,0.0175873289326611,-0.0100430890498016,-0.00034830743522376,-0.00487245381559714,0.000637874733592895,0.0147348993276962,0.0878465384427752,-0.00826848139530777,0.018127022168799,-0.00628793589911156,-0.00122442664923261,0.0658131900961782,0.0511493503218594,0.0122785585966725,-0.00988036157862994,0.00565233951710749,0.0242556935143011,0.00298739545147165,0.0373873660978152,0.0204860009907275,-0.00744531736626318,0.0475295220779494,0.0549096894591424,0.0204767770376425,-0.0105320769863326,-0.0131911134851034,0.0301516634155848,0.00730755288894591,0.00126710119828294,0.00198372372982423,0.0128511650229567,0.0273912465235023,-0.00367639879065793,-0.00383836150475057,0.0411176025900461,-0.00235390054508014,0.0305982934828,0.0183393746561882,0.0105519963441473,0.0337056024689044,0.012376898027933,0.00385084404699454,0.0532576241256969,-0.0147843905534161,0.0111608863524465,0.00114059382789028,0.0362412371118901,-0.00220763338513226,0.0722069894872407,-0.00492738121419728,0.0401148666534108,-0.00395677217132463,-0.0106283809678374,0.0273324956569289,0.0280815670713048,0.0543886439487665,-0.0050978757935945,0.047116052014909,0.0620011183668367,0.0254989146987359,-0.00908654660809819,-0.00693644448145532,0.0196463494864598,0.024311158693918,-0.00628419838169894,-0.00876436835755669,0.0805347703437256,-0.00752339113009134,0.00622483440875851,-0.00111941134898109,0.0648306373460466,0.0351007737919008,0.024744014115252,0.0354337568912974,-3.57041692346449e-05,0.0213012086094203,0.00970543777442756,0.0284008396086514,0.0335486201824882
"CB1_IgG",0.0119164969038279,0.0140517089106148,0.0455236179304737,0.0153055870825861,0.00618032522461249,-0.00329452844057604,0.0280664766762509,0.0352935871391718,0.0650157807668124,0.0139637681128684,0.13992172343436,0.00998330903994767,-0.00299651643339284,-0.00778215832270307,0.0620018411421053,0.0276466331941081,0.0726029023518049,-0.00429184130320589,0.00541546891703029,0.0704612869928574,0.0699978136356391,0.0212445930225323,0.017201058204068,0.0395826894939546,-0.00667549242672239,-0.00898966898011125,0.0907478822036848,0.0288184626695286,0.00910732609463722,0.0110968438047397,0.0138599146291665,0.150342515398602,-0.00515146665177714,0.00838026832791329,0.0139634135930921,0.0008218899389898,0.00368057519110433,0.0421433041628199,0.0593362831108893,0.00730719475060025,0.117661430212625,-0.0102752444726859,-0.00143457302704321,0.045786822252211,0.010006889260905,0.00559171725867498,0.0428820333353739,0.0317545375545296,0.0160824724785574,0.0169115585742117,0.0154042092468165,-0.000238192462854088,0.0348484961104119,0.033105000081255,0.0124671732143504,-0.00152409199313415,0.0118079948488363,0.00954185883853317,0.0439409907894594,0.0343383241047802,0.0493489054406239,0.0485107639249972,0.0108848388463175,0.00795884624711503,0.0183415039204289,0.0558979305806386,-0.0125379623654879,0.00694166205488537,0.0329083873653675,0.0137433087463322,-0.00827475803118405,0.0866423982159423,0.0158370793680072,0.00416786801377452,0.0366431311043854,0.00960531630495524,0.0118821020087625,0.0141064841765468,0.0800420208192541,0.0170655840547904,0.0496420195063263,0.0122293988639021,0.00668294585311202,0.0232220611678013,0.0219634956528754,0.0112334146136299,0.00186533174452014,0.0191187107249948,0.0284516076113437,0.0462425038169346,0.0307525538391539,0.00354269826645975,0.00722857031921172,0.0140665264662396,0.0200006649091301,-0.00461276813337944,0.0128420794065511,-0.00198037627602882,0.0558214181855411,0.0325870104968685,0.0229305164525073,0.0190632509436319
"Enterococcus",-0.000696562025406882,0.00711741460866161,0.0511627964131377,-0.0029866583368247,0.0119578738337222,0.023725503869452,0.00213232897368481,0.00617133238183266,0.0330152539798723,-0.00321804053354045,0.000885268374812869,0.00882646340566184,0.00680875387525661,0.0146655882069194,0.0393277904140798,0.00639895233776083,-0.00452028611361594,0.0104325375023569,0.0443682394808527,0.00523135154356849,0.0233780391235782,0.060025025789573,0.00314839142031863,-0.00697537255277458,-0.00186287128188869,-0.0092389099252939,0.100960348026582,0.00390838698746947,-0.00836922770893427,0.0448803673987677,0.013509358840232,0.0132861269482554,0.03816785825857,-0.00580408890470912,0.00920993087543446,0.0203849746717629,0.00418379199361342,0.00745985054405838,-0.00297893110663806,0.0199282121660369,0.0323006304560296,0.0153884796516979,0.0549631515327748,7.02548123839925e-05,-0.0119503138616774,0.00963320013130185,-0.0032735897773525,0.0126425853627062,0.0807599818074278,-0.0070582292208716,0.0154466918948021,0.0122289174074873,0.0159202487262743,0.00308375572185002,0.00401318806542345,-0.00654619014071861,0.00536682879825152,-0.00344082498151088,0.0332290460448166,0.0176632911586804,0.00524793655593443,0.0225833559797383,0.0633433664270835,-0.00500463543366899,-0.00450905659250162,0.00281733723312751,0.000594303571268621,0.000908095356871365,0.0045560232143727,0.0599244099070161,0.0304426684907583,0.000364352702324382,0.0117719313564237,0.00545929613475477,0.0148473042239498,0.00342134573338516,0.0254733280006715,-0.000347182433179847,0.0217028194641198,0.030577510943487,-0.000525897553175277,0.00677502773808221,0.015037936757126,0.00340555251462399,0.0149390345808636,0.00502829512892708,-0.00531119590759545,0.045537954510049,0.00182987184186304,0.0769455111863738,0.041844967640895,0.00065614568893757,0.00711719774957491,0.0500799952779644,0.00499883281368931,0.0138954496021197,0.0478903640623482,0.00180519420313651,-0.00150295906023114,0.020108286023577,0.0172977191822095,0.0230598514328225
"birth_weight",0.00364050047530397,0.00585077325433132,0.00585855679141101,0.0110806229742689,0.0116899925849065,-0.00128329865951621,0.0176043148453799,0.0154328218220993,-0.00608216480348321,0.0246693882557268,-0.000559777759015511,0.00458686621711843,0.0250706243009385,0.0285702131004229,0.00249234498598458,0.0385351017839653,0.000389479201154785,-0.00826215529581704,0.0321976275211468,0.0084481950805391,0.00661568999904398,0.00495987260410188,0.000488231754671007,-0.00725406356860282,0.0478944051993369,0.00412093508282527,-0.00627448595299668,0.0375743048339977,0.00356150898245447,0.010088131369245,0.0200484725792255,0.0207701626162973,0.0253262982640693,-0.00620969606761661,0.00160104634865798,0.00630083228244779,0.0233615210924478,0.00867306825609721,0.00807450178791712,0.000788507372062596,0.00670095258234689,0.0244831793990678,-0.00265960240576372,-0.00116359291261897,0.0296428722501109,0.00808961353984659,0.00466435862280358,0.00306031238821907,0.0438035460733073,0.00417074627438429,0.0202716825410028,0.0165851379725397,-0.0112992068062897,0.0287985442124566,0.00126732894156184,0.0241964895221648,-0.00787569555739784,0.0162621502838902,0.000683481701571905,0.0411735006533117,-0.00443336936706887,0.0081120465940691,0.00713039858579581,0.0194757227109279,0.0269201674683311,-0.00441772070726235,0.00733892006003884,0.0302277836090748,0.00193381725799005,0.0145589746222536,0.0117333523900795,0.0163048593018627,0.0129163579872814,0.00334055845980826,0.00546907612815939,0.0125698305493121,0.00777002864876602,0.00555617762937186,0.0157078995187805,0.00447349907123923,0.00574869800312935,0.0448632562749656,0.00966817304399158,0.00725611300970954,0.00525285866982208,0.00288256415980617,0.0102517502031342,0.0164699383821612,0.0328530551195634,-0.00565153887755665,0.0205795710154939,-0.0075476388399661,0.027623062599252,0.0297957595012937,0.00529791230817044,0.0262367633835881,0.0112847963372429,0.00333013533416655,-0.00584824486880286,0.0416068504825116,0.0140927129594379,0.0156404124250303
"MPO_BS5_Concngml",0.032980736158255,0.0159927969327343,-0.00173273002207353,0.000950418717556597,-0.00269259347654091,-0.0211945837985547,0.0173304700702872,-0.00753038989465076,0.0168826651613875,0.0388866427159839,0.0161136988039461,0.0084012232072298,0.0186879646294078,0.0354938671108525,-0.00721544185291522,0.0166598976987365,-0.00341223533340475,-0.00233517886913972,-0.0029416226871096,0.0392292977072459,0.00268981996368426,-0.00751751694727914,-0.00206352933047015,0.0170053923070132,0.0431653751899248,-0.00195185688654002,0.0237377864038191,0.0299747818864106,0.00696048117164709,-0.0159562570371369,0.0237627897653442,0.0106897189777535,0.0190012258103885,0.00838788470818199,-0.00995396091392516,-0.00302713840530061,0.0570619636444637,-0.00057258499033026,0.0129797867599753,-0.00119446013783253,0.0335748124134587,0.0369708703981171,-0.00513679088960286,0.00165177275559086,-0.0174102648320838,-0.00377448985987156,0.00622762366811518,-0.00652497628858635,0.0371141116712821,0.00600507006729027,-0.000921616649941548,0.0050917614298025,0.0221031907097218,0.0122648021651839,0.0020882589065534,-0.00643880180856402,-0.00496542108365631,0.0120463225680528,0.00800407141650773,0.0244785697267238,-0.0121393375352895,-0.00567783667746417,-0.00275138285378074,0.0273215127070709,0.0427143798198637,-0.00380448512700903,-0.000143532308428296,0.0255158492084133,-0.00674371680615528,0.0432402452265999,0.0184740043353812,-0.00152864856150551,-0.00735758067562292,0.0227230278051329,0.0141629043003012,0.000214805489687615,0.000720673230869673,-0.00773839092860994,0.0195924061732577,0.0437543583567747,-0.00690493642082893,0.0331658339820432,0.0203463993697688,0.0414741594617198,-0.0156402529313842,0.0145431371624428,0.0655015761682165,0.00552823913699283,-0.000421890973819348,-0.00186547634416938,-0.0116885785298782,0.0378136219867678,0.0118387560023001,0.00655730668453763,0.0147421218787968,0.0102629639993238,0.00323825656498161,-0.00127186267433988,-0.00209459382081573,0.0366830418473265,0.0138610779108698,0.0229980240049812
"MB1_IgG",-0.0125910367889285,-0.00600714555191773,0.0179827137324306,0.106096197869869,0.0015463035968867,-0.00670947039631338,0.0223592996875362,0.000825801982756913,0.0592947111055763,-0.00885186804652902,0.0911202640328182,-0.00855947049430277,-0.0113656906769913,-0.0145682457942878,0.0370337317157595,0.0812308097603263,0.00769566278854123,-0.00710404071086596,-0.0101773878466691,0.080551044653528,0.0591492808440472,0.00302433809979377,0.0237394806539393,0.00153296102513995,-0.0153643503610772,-0.00798655110489542,0.0428672419019686,-0.00435035302244756,0.0224170607932873,-0.00784526878097801,-0.0170032668987405,0.00630464951257947,0.000445432062121881,0.0638808297335483,0.0249730172941506,0.00428594202624615,-0.00143541972474949,0.00272612816805059,0.056852615667124,-0.0108609291417186,0.0408044694787095,-0.0175392161769654,-0.0150619890093436,0.0399376218696289,0.0130114730343522,0.0141715072763345,0.0736434241218803,0.0335800302302092,0.00644767020324308,-0.0189535172757797,-0.00586006770716647,-0.00459092368950208,0.0574516521857474,0.0299224847958012,-0.00433472299583057,0.00116161640305271,0.00863483510926321,-0.0112197252548954,0.00925522233121663,0.0336959323994652,0.0158172535460316,0.0331633939733277,-0.00582818610979904,-0.00410616524581194,0.0146243762756068,0.00939519120688107,-0.00548658106814759,0.00290169022162285,0.0499323780166247,0.0213881579007317,-0.0166722954256946,0.0127131887871388,0.0102680469223942,0.0139948019282889,-0.00317575102904212,-0.00350109204456851,0.0202762089353911,-0.0126823646261503,0.0319524725522718,0.0513993029500779,-0.0202440969329255,0.0307620738180163,-0.00982542913128368,0.0194420937424142,0.0187603316555422,-0.0139841901139345,0.0111955729502379,0.0249120568878526,0.00939789231455275,0.0058892507000187,0.0364656380272036,0.00791963465698057,-0.0125957727564143,0.00434152726090912,-0.0100720021650747,-0.0138713113626612,-0.0041077321927288,-0.00493796257872415,0.0652866594446748,0.0410945086293828,0.0132254510504736,0.0258177448214857
"Salmonella",0.00201708080557659,0.00872957318292482,0.00340059000918215,0.0140108162735735,0.0215454399434271,0.00462430737905007,0.00581921076506418,0.00465803710125685,0.00777291723165787,0.0157548133823051,0.0207549256071583,0.00436234010048789,0.009931836222822,0.00171926431714205,0.000153557736054819,0.0196067570570552,0.00212251782950945,0.0217497172582285,0.0081012641720908,0.00384919465295941,0.00266065925043635,0.0146772411035261,0.00887315881665737,0.00600938524603304,0.00349840192281213,0.01418129763316,0.00674211144672655,0.0058834647723412,0.00473373358010163,0.00403425454270275,0.0131650230755959,0.0023261456217546,0.0112754431614981,0.0083501980239759,0.00201052911079851,0.00570835001152525,0.00470529716503417,0.014500409034028,0.00232001917158676,0.00789733974807866,0.0215379479240378,-0.00145763952475476,0.0041497529629115,0.0041037204770598,0.0140646937731702,0.00714280839038616,0.0131765258405244,0.0413185496583774,0.00118948675229222,0.0185078952051276,0.00465387203550616,0.0443359732506753,0.000570093417004477,0.0022626138262097,0.00918173671681569,0.019579985411931,-8.86276826456131e-05,0.0144902348747544,0.0241414901060042,0.00246643711912176,0.00459088949915715,0.00981199962517076,0.00812400538525157,0.00305349691030006,0.0202424306023733,0.00814600884898291,0.00492705445123545,0.00379351392626714,0.00382871625977446,0.00591492050076763,0.0102592216130323,0.0192479629383795,0.000428086575706622,0.0150330410071008,0.0132952872720631,0.008969857749509,0.000740185170188336,0.00530367091666047,0.00900738703863718,0.014606477127073,0.00859540032866104,0.00187069260162317,0.0136669231611742,0.010429894425882,0.00452449563286983,0.00900455246412063,0.00746432693827615,0.00450292268669516,0.000626436914887036,0.0106589238112402,0.00639917677152231,0.00840572053564166,0.00545083164166786,0.00493846969521366,0.0175435047924914,0.0246231564074603,0.00475702918253307,0.0053855748501374,0.00256454358765735,0.0044746713215988,0.00971125024569255,0.00674146277012525
"OPV_IPV",0.0149529347086429,0.0151997684849241,-0.00053016043650531,0.0273557200835514,0.0111598438660887,0.00699721368889623,0.0116074424109781,0.00685297334120603,0.0120525191159318,0.0118431321466825,0.0739520194159521,-4.60084536297514e-05,0.08107495499848,0.00591427562775839,0.00107810832183436,-0.00309473834442939,0.0189549618944423,-0.00515832402916349,0.0400923241960925,0.0535357501326313,0.00250811930930038,0.00572969881641807,0.020793712688557,0.00182710780297029,0.0048264750430457,0.00726418600288188,0.00792038066497376,0.0497540514105826,0.000508184089989786,0.00755735528140943,0.0285949318602631,0.00678776697760214,0.00501652537482193,0.00982398301719371,0.007896599339075,0.00352920109939771,0.00881363927795265,0.0516507609957954,0.00672287745446406,0.00583946270572036,0.00349685753645207,0.00986257670491874,0.0136387316668139,0.024158883772659,0.00682703147541346,0.000945196280471196,0.00620420112729156,0.00682342672401925,0.017136223868552,0.0416455109771087,-0.000163510929497001,0.0299328862533353,0.00824182559524668,0.0341788837623718,-0.000907602904930907,0.00720113905637786,0.00934325966947425,0.011012828294144,0.0206758547824949,0.000469877056589773,0.00347008768424905,0.00102658798092502,0.0307473021689807,0.00951300058664429,0.0214575903397763,0.00624856796746971,0.00338359041560265,0.0184368930920839,0.00913595906617425,-0.00313874237877337,0.0266563730193115,0.0243497342786521,0.00991211876585605,0.0113558824242525,0.00487967124323794,0.0156645286540881,0.00850465206557544,0.0230700552600676,0.0199030976220044,-0.0014104028977765,0.00635157283792986,0.0107937819887737,0.045071438388049,0.0251776314507339,0.00218778446721222,0.00421921833819118,0.0127647194711235,0.00644323099469944,0.0440009353621675,0.00295475404041297,0.00126231670717112,0.049386306885125,0.0151897276534661,0.040780636417102,-0.0020121095943746,0.0214153925768426,-0.00490105073882819,0.024440229430788,0.00497587421114829,0.0170331196218172,0.00968616041411003,0.0145425786381457
"Sutterella",0.0238458551981923,0.00758179043506126,0.00120460930038995,0.00918459033620754,0.00755016524242552,0.0140035893918983,0.00784557037642478,0.000791364101344311,0.00210319432990845,0.0183354221954521,0.0172771260722135,0.0101230401231126,0.00649103328082831,0.00703502539706825,0.00267903389490935,0.0188836640451311,0.00330470795088394,0.00188561533858724,0.0045013627072769,0.0135961504286664,0.00317203531693407,0.00274301375334209,0.00528572958405134,0.00639013396669202,0.0178839628673548,0.00746920765451128,0.00316728052210389,0.0114307597078905,0.0243047949678109,0.000702724964816235,0.0117137186528968,-0.000382182610791397,0.00602297941927139,0.00613987793921393,0.0129454181913909,0.00549116526706872,0.00709110496158457,-0.000880269164581108,0.004022146966412,0.0177862476613684,0.0296470237535559,-0.00118883809689972,0.0114780706534909,0.00835176107131692,0.00266224816215956,-0.00119587542261216,0.00797788777940397,0.0220636199778548,0.00283230351101584,0.0189216853671237,0.0228537269018212,0.00646802361030728,0.00406498906685209,0.00729658372655143,0.00127932624884836,0.0206094502524115,-8.92959882974534e-05,0.00785508312015688,0.00819550224441618,-0.000821741873553217,0.000760531766930135,0.0109793581885751,0.0129377228371341,0.00833269436192784,0.00421831819704723,0.0226403059608109,0.000276630395977423,0.000179056165927559,0.00324272344842374,0.0260724158952678,0.00967642225236607,0.013335678482793,0.00567542514694539,0.00436636338683036,0.00262725677204696,0.0205342414601066,0.00378559698932697,0.000210125472339534,0.0151123729634953,0.00787557515391047,0.00651337827936025,0.0234666219240204,0.00430269332634802,0.00277056658734045,0.00892429599534151,0.00232494384478,0.0251766244366366,0.00055622486538606,0.0177964367240911,0.00952953283595993,0.000295908646690292,0.0105014319053691,0.0194482337679188,0.00481341132870967,0.0026507550338878,0.00729043645284509,0.0219786582594693,0.00708974021300896,0.000131431087830061,0.00563634301712751,0.00905275681257756,0.00758673829206615
