"","mean","sd","crossval_mean","crossval_sd","module"
"birth_weight",0.180251478125373,0.323315293200754,0.506272727272727,0.153992905410753,"module4_unexposed"
"MPO_BS5_Concngml",0.170315505583811,0.311826124771161,0.506272727272727,0.153992905410753,"module4_unexposed"
"HAZ_6_8w",0.169770258587963,0.306743378259908,0.506272727272727,0.153992905410753,"module4_unexposed"
"Bifidobacterium",0.155822882705414,0.274714219560875,0.506272727272727,0.153992905410753,"module4_unexposed"
"Escherichia.Shigella",0.150446112284556,0.267147234106717,0.506272727272727,0.153992905410753,"module4_unexposed"
"Enterococcus",0.149824146912281,0.27439107931646,0.506272727272727,0.153992905410753,"module4_unexposed"
"Streptococcus",0.143026347919924,0.254505343410383,0.506272727272727,0.153992905410753,"module4_unexposed"
"MPO_BS3_Concngml",0.139304366500307,0.249022320386488,0.506272727272727,0.153992905410753,"module4_unexposed"
"maternal_education",0.13728469291183,0.252130559438737,0.506272727272727,0.153992905410753,"module4_unexposed"
"MB1_IgG",0.136275028447409,0.252747216032543,0.506272727272727,0.153992905410753,"module4_unexposed"
"Klebsiella",0.135191452122309,0.253803231522549,0.506272727272727,0.153992905410753,"module4_unexposed"
"MB1_IgA",0.133211985648877,0.238671124013176,0.506272727272727,0.153992905410753,"module4_unexposed"
"AG_Concugml",0.130263338998581,0.235597208840608,0.506272727272727,0.153992905410753,"module4_unexposed"
"Staphylococcus",0.129649357379652,0.23199616864167,0.506272727272727,0.153992905410753,"module4_unexposed"
"mother_weight",0.128178817649079,0.232154518704479,0.506272727272727,0.153992905410753,"module4_unexposed"
"household_income",0.121352624988625,0.227434128311351,0.506272727272727,0.153992905410753,"module4_unexposed"
"BM1_IgA",0.12128055011315,0.216763312502792,0.506272727272727,0.153992905410753,"module4_unexposed"
"A1AT_BS5_Concugml",0.119563566759421,0.215696298136708,0.506272727272727,0.153992905410753,"module4_unexposed"
"Lactobacillus",0.118287760724168,0.214877261970826,0.506272727272727,0.153992905410753,"module4_unexposed"
"A1AT_BS3_Concugml",0.113089965632312,0.202890660892711,0.506272727272727,0.153992905410753,"module4_unexposed"
"CB1_IgG",0.112075897852884,0.203831803003463,0.506272727272727,0.153992905410753,"module4_unexposed"
"Veillonella",0.109892885867774,0.196979790581335,0.506272727272727,0.153992905410753,"module4_unexposed"
"Rothia",0.0935664078064472,0.168649158708641,0.506272727272727,0.153992905410753,"module4_unexposed"
"age_mother",0.090997194905872,0.161831387561751,0.506272727272727,0.153992905410753,"module4_unexposed"
"Gemella",0.0854191288302208,0.155599232927543,0.506272727272727,0.153992905410753,"module4_unexposed"
"OPV_IPV",0.0854103078574567,0.157996652921828,0.506272727272727,0.153992905410753,"module4_unexposed"
"Bacteroides",0.0821983388843738,0.159172079530484,0.506272727272727,0.153992905410753,"module4_unexposed"
"Corynebacterium_1",0.0736709110887828,0.139028341691184,0.506272727272727,0.153992905410753,"module4_unexposed"
"unassigned_Lachnospiraceae",0.0732838289957264,0.152297030543673,0.506272727272727,0.153992905410753,"module4_unexposed"
"Actinomyces",0.0689294263588966,0.134480951743606,0.506272727272727,0.153992905410753,"module4_unexposed"
"Dolosigranulum",0.064387635986548,0.128095016983703,0.506272727272727,0.153992905410753,"module4_unexposed"
"Collinsella",0.0581340919712826,0.115025884000314,0.506272727272727,0.153992905410753,"module4_unexposed"
"Haemophilus",0.0477876076370201,0.0918817997363158,0.506272727272727,0.153992905410753,"module4_unexposed"
"Finegoldia",0.0473006046510491,0.108620906841622,0.506272727272727,0.153992905410753,"module4_unexposed"
"unassigned_Enterobacteriaceae",0.0471649740188336,0.0856297793233867,0.506272727272727,0.153992905410753,"module4_unexposed"
"parity",0.047026494274529,0.0887291620527138,0.506272727272727,0.153992905410753,"module4_unexposed"
"Enterobacter",0.0427950614575129,0.0780705804559831,0.506272727272727,0.153992905410753,"module4_unexposed"
"Atopobium",0.0406214970401001,0.0771969912457591,0.506272727272727,0.153992905410753,"module4_unexposed"
"age_at_first_dose",0.0361014953534525,0.0653972623850103,0.506272727272727,0.153992905410753,"module4_unexposed"
"Parabacteroides",0.0356655243634198,0.0905932152230901,0.506272727272727,0.153992905410753,"module4_unexposed"
"Megasphaera",0.0348685265546674,0.0653823854455686,0.506272727272727,0.153992905410753,"module4_unexposed"
"Clostridium_sensu_stricto_1",0.0336320526478637,0.0615244182723872,0.506272727272727,0.153992905410753,"module4_unexposed"
"Prevotella",0.0295923107571147,0.0709512877219563,0.506272727272727,0.153992905410753,"module4_unexposed"
"Sutterella",0.0291944657794535,0.0567269984505952,0.506272727272727,0.153992905410753,"module4_unexposed"
"Anaerococcus",0.027745242428146,0.0512799290707372,0.506272727272727,0.153992905410753,"module4_unexposed"
"water_treat_wami",0.0275957272519466,0.0593903233034402,0.506272727272727,0.153992905410753,"module4_unexposed"
"Salmonella",0.0272257534799434,0.0521773326052075,0.506272727272727,0.153992905410753,"module4_unexposed"
"Negativicoccus",0.0263171721028627,0.0544180578425097,0.506272727272727,0.153992905410753,"module4_unexposed"
"sanitation",0.0256698567672697,0.050267283162219,0.506272727272727,0.153992905410753,"module4_unexposed"
"Senegalimassilia",0.0251146933237134,0.0455820522174257,0.506272727272727,0.153992905410753,"module4_unexposed"
"antibiotic_exposure",0.0248309864874417,0.0520831477547279,0.506272727272727,0.153992905410753,"module4_unexposed"
"Cutibacterium",0.0241762281121514,0.0454966458568241,0.506272727272727,0.153992905410753,"module4_unexposed"
"Acinetobacter",0.0240497511126582,0.0445975563168194,0.506272727272727,0.153992905410753,"module4_unexposed"
"Granulicatella",0.0213648124232275,0.0402834926098639,0.506272727272727,0.153992905410753,"module4_unexposed"
"Dialister",0.0213326527296561,0.0438708251940317,0.506272727272727,0.153992905410753,"module4_unexposed"
"Peptoniphilus",0.0212800421973399,0.0411472036880269,0.506272727272727,0.153992905410753,"module4_unexposed"
"Erysipelatoclostridium",0.0207912229227146,0.0485527371179413,0.506272727272727,0.153992905410753,"module4_unexposed"
"sex_baby",0.0197783576661313,0.0378323625065781,0.506272727272727,0.153992905410753,"module4_unexposed"
"Prevotella_9",0.0189693066310361,0.0349958735364387,0.506272727272727,0.153992905410753,"module4_unexposed"
"type_house",0.0189281507787225,0.0373631606986904,0.506272727272727,0.153992905410753,"module4_unexposed"
"crowding_wami",0.018020548886811,0.0387213834485544,0.506272727272727,0.153992905410753,"module4_unexposed"
"refrigerator",0.0177269285539584,0.0348008587600425,0.506272727272727,0.153992905410753,"module4_unexposed"
"Citrobacter",0.0175379197995465,0.0341947903991991,0.506272727272727,0.153992905410753,"module4_unexposed"
"mode_delivery",0.0157434228210493,0.0315649757737112,0.506272727272727,0.153992905410753,"module4_unexposed"
"kitchen",0.0147949295831706,0.0279776495955953,0.506272727272727,0.153992905410753,"module4_unexposed"
"kitchen.1",0.0147643959789568,0.0277594761600441,0.506272727272727,0.153992905410753,"module4_unexposed"
"Lachnoclostridium",0.0145033966215882,0.0325757810310122,0.506272727272727,0.153992905410753,"module4_unexposed"
"Eggerthella",0.0142772980582844,0.0317470614702415,0.506272727272727,0.153992905410753,"module4_unexposed"
"place_delivery",0.0136909950547891,0.0259214942871989,0.506272727272727,0.153992905410753,"module4_unexposed"
"Tyzzerella_3",0.0135630058487188,0.0316656568672225,0.506272727272727,0.153992905410753,"module4_unexposed"
"Libanicoccus",0.0133381461411264,0.0325106947672147,0.506272727272727,0.153992905410753,"module4_unexposed"
"Blautia",0.0132239803967446,0.0373430342579295,0.506272727272727,0.153992905410753,"module4_unexposed"
"Varibaculum",0.0120030482855391,0.02272605958774,0.506272727272727,0.153992905410753,"module4_unexposed"
"Flavonifractor",0.0116948235405119,0.0315426353242714,0.506272727272727,0.153992905410753,"module4_unexposed"
"Holdemanella",0.0112784088216962,0.0336627793776417,0.506272727272727,0.153992905410753,"module4_unexposed"
"Raoultella",0.00957736853671651,0.0183138596393416,0.506272727272727,0.153992905410753,"module4_unexposed"
"Ezakiella",0.00904715324700824,0.0234767707592771,0.506272727272727,0.153992905410753,"module4_unexposed"
"Dermabacter",0.00892703020728589,0.021978895292835,0.506272727272727,0.153992905410753,"module4_unexposed"
"breastfed_child",0.00879687707342478,0.0178815193553845,0.506272727272727,0.153992905410753,"module4_unexposed"
"Porphyromonas",0.00873448982575454,0.0203617410071502,0.506272727272727,0.153992905410753,"module4_unexposed"
"Clostridioides",0.00845415236525143,0.0168228672523405,0.506272727272727,0.153992905410753,"module4_unexposed"
"Catenibacterium",0.00829655641170577,0.0223750707816173,0.506272727272727,0.153992905410753,"module4_unexposed"
"Fusobacterium",0.0079644574107589,0.0189915904687254,0.506272727272727,0.153992905410753,"module4_unexposed"
"Morganella",0.00724508014009993,0.0180498954491407,0.506272727272727,0.153992905410753,"module4_unexposed"
"Pseudomonas",0.00716085485167616,0.0141429776158172,0.506272727272727,0.153992905410753,"module4_unexposed"
"Proteus",0.00670752455586775,0.0130678612546338,0.506272727272727,0.153992905410753,"module4_unexposed"
"Scardovia",0.00669513153431979,0.0157552108674815,0.506272727272727,0.153992905410753,"module4_unexposed"
"Hungatella",0.00666954405482032,0.0204973499211397,0.506272727272727,0.153992905410753,"module4_unexposed"
"Slackia",0.00647673342436226,0.0137129114211236,0.506272727272727,0.153992905410753,"module4_unexposed"
"Actinobacillus",0.00643798570958719,0.0132043350275993,0.506272727272727,0.153992905410753,"module4_unexposed"
"Cronobacter",0.00634710416859769,0.0128649769650108,0.506272727272727,0.153992905410753,"module4_unexposed"
"Megamonas",0.00603006299336406,0.0157767376931668,0.506272727272727,0.153992905410753,"module4_unexposed"
"Dorea",0.00550214548965695,0.0128470947711752,0.506272727272727,0.153992905410753,"module4_unexposed"
"Akkermansia",0.00442563319997044,0.0089496594608699,0.506272727272727,0.153992905410753,"module4_unexposed"
"Lactococcus",0.00429064420917733,0.0110354432671676,0.506272727272727,0.153992905410753,"module4_unexposed"
"Allisonella",0.00420040905013893,0.00823981095999405,0.506272727272727,0.153992905410753,"module4_unexposed"
"Kocuria",0.00409456140311542,0.00863751844015232,0.506272727272727,0.153992905410753,"module4_unexposed"
"Olsenella",0.00405486764530713,0.0125135707256093,0.506272727272727,0.153992905410753,"module4_unexposed"
"Aggregatibacter",0.00388303486001582,0.00819960188161229,0.506272727272727,0.153992905410753,"module4_unexposed"
"Peptostreptococcus",0.00383670097325465,0.0132627406289098,0.506272727272727,0.153992905410753,"module4_unexposed"
"Campylobacter",0.00347408986388875,0.00816928674810046,0.506272727272727,0.153992905410753,"module4_unexposed"
"Intestinibacter",0.00330936449540019,0.00681825769879933,0.506272727272727,0.153992905410753,"module4_unexposed"
"Bacillus",0.00271892595681296,0.00564372487002124,0.506272727272727,0.153992905410753,"module4_unexposed"
"Lachnoanaerobaculum",0.00244707453204042,0.00543133644426845,0.506272727272727,0.153992905410753,"module4_unexposed"
"Acidaminococcus",0.00231213879614328,0.00481960870238074,0.506272727272727,0.153992905410753,"module4_unexposed"
"unassigned_Ruminococcaceae",0.00225342605746914,0.0093827833414899,0.506272727272727,0.153992905410753,"module4_unexposed"
"Bilophila",0.00225289653763341,0.00526532351858928,0.506272727272727,0.153992905410753,"module4_unexposed"
"Aeromonas",0.00216860285105052,0.00595142083397123,0.506272727272727,0.153992905410753,"module4_unexposed"
"UBA1819",0.00199135872564131,0.00538541037985009,0.506272727272727,0.153992905410753,"module4_unexposed"
"Tyzzerella_4",0.00197713921354341,0.00500813876548447,0.506272727272727,0.153992905410753,"module4_unexposed"
"Prevotella_6",0.00194885693457608,0.00549961168644349,0.506272727272727,0.153992905410753,"module4_unexposed"
"Anoxybacillus",0.00169403475934048,0.00606912816324849,0.506272727272727,0.153992905410753,"module4_unexposed"
"Desulfovibrio",0.00160758344117638,0.00480400376686269,0.506272727272727,0.153992905410753,"module4_unexposed"
"Enhydrobacter",0.00160071189952658,0.00578876749567973,0.506272727272727,0.153992905410753,"module4_unexposed"
"Neisseria",0.00145914256626466,0.00560949274083878,0.506272727272727,0.153992905410753,"module4_unexposed"
"Mitsuokella",0.00125919118324868,0.00386183218577671,0.506272727272727,0.153992905410753,"module4_unexposed"
"Eubacterium",0.00118099259141871,0.00449996948982918,0.506272727272727,0.153992905410753,"module4_unexposed"
"Ruminococcaceae_UCG.002",0.00104687283198889,0.0051382685443061,0.506272727272727,0.153992905410753,"module4_unexposed"
"Ruminococcaceae_UCG.014",0.00104523987741628,0.00516474601439088,0.506272727272727,0.153992905410753,"module4_unexposed"
"Phascolarctobacterium",0.00102690618945138,0.00364844006955493,0.506272727272727,0.153992905410753,"module4_unexposed"
"Coprococcus_1",0.00101048930521108,0.00493859113523753,0.506272727272727,0.153992905410753,"module4_unexposed"
"Lawsonella",0.000962548330675089,0.00287584473740649,0.506272727272727,0.153992905410753,"module4_unexposed"
"Stenotrophomonas",0.000938571718672595,0.00277108026057239,0.506272727272727,0.153992905410753,"module4_unexposed"
"unassigned_Prevotellaceae",0.000910859969593902,0.00454240423536777,0.506272727272727,0.153992905410753,"module4_unexposed"
"Lachnospiraceae_UCG.004",0.000880591715074791,0.00311040340666384,0.506272727272727,0.153992905410753,"module4_unexposed"
"Ruminococcus_2",0.000852282012960984,0.00434857334857357,0.506272727272727,0.153992905410753,"module4_unexposed"
"Ruminiclostridium_5",0.000808439477291921,0.00269324765785702,0.506272727272727,0.153992905410753,"module4_unexposed"
"unassigned_Muribaculaceae",0.000797431600880577,0.00212887878228079,0.506272727272727,0.153992905410753,"module4_unexposed"
"unassigned_Erysipelotrichaceae",0.000783460481121327,0.00384881314362027,0.506272727272727,0.153992905410753,"module4_unexposed"
"Psychrobacter",0.000668113250074753,0.00195464325735892,0.506272727272727,0.153992905410753,"module4_unexposed"
"Enterorhabdus",0.000643526175382942,0.00227948346947583,0.506272727272727,0.153992905410753,"module4_unexposed"
"Alistipes",0.000612658213757566,0.00188303092124419,0.506272727272727,0.153992905410753,"module4_unexposed"
"Buttiauxella",0.000587032018291957,0.00204335039832665,0.506272727272727,0.153992905410753,"module4_unexposed"
"Prevotella_2",0.000549994943176873,0.00197180506600706,0.506272727272727,0.153992905410753,"module4_unexposed"
"Leuconostoc",0.000482501011630198,0.00175707784097586,0.506272727272727,0.153992905410753,"module4_unexposed"
"Sellimonas",0.00046621732776262,0.00232767837507066,0.506272727272727,0.153992905410753,"module4_unexposed"
"Weissella",0.00041539118956846,0.00162083418386302,0.506272727272727,0.153992905410753,"module4_unexposed"
"Anaerostipes",0.000321776522031255,0.00123174869738958,0.506272727272727,0.153992905410753,"module4_unexposed"
"Solobacterium",0.000302470653599109,0.00150061662953672,0.506272727272727,0.153992905410753,"module4_unexposed"
