"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n","module"
"B1.F1",0.0928,0.0928,106,0.135,0.0446330937933992,27,"module4_exposed"
"B1.F2",0.0783,0.0783,106,0.2126,0.123656563217003,27,"module4_exposed"
"B1.F3",0.0798,0.0798,106,0.1905,0.164822119950325,27,"module4_exposed"
"B1.F4",0.1378,0.1378,107,0.2243,0.195409335963182,26,"module4_exposed"
"B1.F5",0.1104,0.1104,107,0.1235,0.110466168578344,26,"module4_exposed"
"B2.F1",0.0858,0.0858,106,0.1347,0.0840929183420026,27,"module4_exposed"
"B2.F2",0.1416,0.1416,107,0.0549,0.00165516838337351,26,"module4_exposed"
"B2.F3",0.0843,0.0843,106,0.133,0.0805894349850393,27,"module4_exposed"
"B2.F4",0.0775,0.0775,106,0.3339,0.280809409014537,27,"module4_exposed"
"B2.F5",0.1557,0.1557,107,0.0507,0.0300547195622435,26,"module4_exposed"
"B3.F1",0.0823,0.0823,107,0.2965,0.262634348747169,26,"module4_exposed"
"B3.F2",0.184,0.184,107,0.0464,0.0370480239608445,26,"module4_exposed"
"B3.F3",0.0748,0.0748,106,0.3821,0.221554696829422,27,"module4_exposed"
"B3.F4",0.0681,0.0681,106,0.1732,0.086230788611741,27,"module4_exposed"
"B3.F5",0.1431,0.1431,106,0.0983,0.122799327927533,27,"module4_exposed"
"B4.F1",0.1526,0.1526,106,0.0479,0.06357294177807,27,"module4_exposed"
"B4.F2",0.0726,0.0726,107,0.246,0.194570135746606,26,"module4_exposed"
"B4.F3",0.1251,0.1251,107,0.0715,0.124723675944189,26,"module4_exposed"
"B4.F4",0.098,0.098,106,0.1659,0.152662423724695,27,"module4_exposed"
"B4.F5",0.1004,0.1004,106,0.2407,0.177447704920232,27,"module4_exposed"
"B5.F1",0.1154,0.1154,107,0.1788,0.142716049382716,26,"module4_exposed"
"B5.F2",0.1734,0.1734,106,0.0021,0.00800165907036136,27,"module4_exposed"
"B5.F3",0.1298,0.1298,107,0.177,0.138613017751479,26,"module4_exposed"
"B5.F4",0.0992,0.0992,106,0.2205,0.091323511653182,27,"module4_exposed"
"B5.F5",0.0674,0.0674,106,0.444,0.284704984338684,27,"module4_exposed"
"B6.F1",0.1119,0.1119,107,0.1832,0.107083026412712,26,"module4_exposed"
"B6.F2",0.1811,0.1811,106,0.1008,0.114804304364744,27,"module4_exposed"
"B6.F3",0.0755,0.0755,106,0.1691,0.135521072334259,27,"module4_exposed"
"B6.F4",0.0913,0.0913,106,0.1452,0.0792089134579977,27,"module4_exposed"
"B6.F5",0.0898,0.0898,107,0.0851,0.0627995032507853,26,"module4_exposed"
"B7.F1",0.1117,0.1117,107,0.1539,0.111111111111111,26,"module4_exposed"
"B7.F2",0.149,0.149,106,0.132,0.0433392072586212,27,"module4_exposed"
"B7.F3",0.1695,0.1695,106,0.0049,0.000566893424036281,27,"module4_exposed"
"B7.F4",0.0806,0.0806,107,0.3171,0.382625486688414,26,"module4_exposed"
"B7.F5",0.1022,0.1022,106,0.1606,0.114804304364744,27,"module4_exposed"
"B8.F1",0.1079,0.1079,106,0.1452,0.0689142630534572,27,"module4_exposed"
"B8.F2",0.0827,0.0827,106,0.0975,0.150286391128882,27,"module4_exposed"
"B8.F3",0.1022,0.1022,107,0.3395,0.319369888231427,26,"module4_exposed"
"B8.F4",0.104,0.104,107,0.2443,0.233443123224245,26,"module4_exposed"
"B8.F5",0.1963,0.1963,106,0.0054,0.00395409095042795,27,"module4_exposed"
"B9.F1",0.1409,0.1409,107,0.1306,0.146878924684053,26,"module4_exposed"
"B9.F2",0.0506,0.0506,107,0.1677,0.102321239945341,26,"module4_exposed"
"B9.F3",0.1116,0.1116,106,0.066,0.0360489801881743,27,"module4_exposed"
"B9.F4",0.0933,0.0933,106,0.1604,0.0698792118206037,27,"module4_exposed"
"B9.F5",0.0925,0.0925,106,0.2589,0.243932264994536,27,"module4_exposed"
"B10.F1",0.0717,0.0717,106,0.2238,0.248171852567457,27,"module4_exposed"
"B10.F2",0.1206,0.1206,107,0.2365,0.157547928994083,26,"module4_exposed"
"B10.F3",0.0816,0.0816,107,0.1263,0.0456570969391482,26,"module4_exposed"
"B10.F4",0.0988,0.0988,106,0.1109,0.0410816967593524,27,"module4_exposed"
"B10.F5",0.074,0.074,106,0.2914,0.19807390411786,27,"module4_exposed"
"B11.F1",0.1659,0.1659,106,0.0417,0.0170686727463284,27,"module4_exposed"
"B11.F2",0.106,0.106,107,0.0973,0.0339567243772372,26,"module4_exposed"
"B11.F3",0.0706,0.0706,106,0.248,0.196447020622845,27,"module4_exposed"
"B11.F4",0.1214,0.1214,106,0.0967,0.0648103422828697,27,"module4_exposed"
"B11.F5",0.1178,0.1178,107,0.1347,0.0854730085236241,26,"module4_exposed"
"B12.F1",0.0919,0.0919,106,0.2138,0.137291979300552,27,"module4_exposed"
"B12.F2",0.085,0.085,107,0.1653,0.0535704872525385,26,"module4_exposed"
"B12.F3",0.1222,0.1222,106,0.0798,0.0689142630534572,27,"module4_exposed"
"B12.F4",0.1397,0.1397,107,4e-04,0.000884681130834977,26,"module4_exposed"
"B12.F5",0.1035,0.1035,106,0.2984,0.282753842277652,27,"module4_exposed"
"B13.F1",0.105,0.105,106,0.1648,0.189001295566181,27,"module4_exposed"
"B13.F2",0.1499,0.1499,106,0.0943,0.0663941317376432,27,"module4_exposed"
"B13.F3",0.081,0.081,107,0.2862,0.214598582803711,26,"module4_exposed"
"B13.F4",0.1288,0.1288,106,0.179,0.0676381006051335,27,"module4_exposed"
"B13.F5",0.1442,0.1442,107,0.0461,0.0907193805245087,26,"module4_exposed"
"B14.F1",0.1422,0.1422,107,0.0661,0.059500639343159,26,"module4_exposed"
"B14.F2",0.1317,0.1317,106,0.094,0.00772853520106267,27,"module4_exposed"
"B14.F3",0.094,0.094,106,0.1504,0.0869493754109138,27,"module4_exposed"
"B14.F4",0.0594,0.0594,107,0.2546,0.169152925706772,26,"module4_exposed"
"B14.F5",0.1529,0.1529,106,0.1784,0.177447704920232,27,"module4_exposed"
"B15.F1",0.1615,0.1615,106,0.0695,0.0205829647221589,27,"module4_exposed"
"B15.F2",0.2147,0.2147,107,0.017,0.0124980933596318,26,"module4_exposed"
"B15.F3",0.1202,0.1202,107,0.1304,0.0571087442472058,26,"module4_exposed"
"B15.F4",0.112,0.112,106,0.0659,0.06859410430839,27,"module4_exposed"
"B15.F5",0.0882,0.0882,106,0.1502,0.10000730513551,27,"module4_exposed"
"B16.F1",0.0511,0.0511,107,0.3827,0.352367790288447,26,"module4_exposed"
"B16.F2",0.1501,0.1501,106,0.0312,0.00125379978859832,27,"module4_exposed"
"B16.F3",0.1382,0.1382,107,0.0816,0.069119555847761,26,"module4_exposed"
"B16.F4",0.0954,0.0954,106,0.3163,0.222705628383284,27,"module4_exposed"
"B16.F5",0.132,0.132,106,0.2534,0.235338291903177,27,"module4_exposed"
"B17.F1",0.0791,0.0791,106,0.3183,0.221554696829422,27,"module4_exposed"
"B17.F2",0.123,0.123,106,0.191,0.0988522737606986,27,"module4_exposed"
"B17.F3",0.1334,0.1334,107,0.1229,0.0638318065600117,26,"module4_exposed"
"B17.F4",0.0842,0.0842,106,0.1681,0.123656563217003,27,"module4_exposed"
"B17.F5",0.1457,0.1457,107,0.0757,0.0744564874250237,26,"module4_exposed"
"B18.F1",0.117,0.117,106,0.1089,0.0702023522536343,27,"module4_exposed"
"B18.F2",0.1036,0.1036,107,0.2023,0.154845613266126,26,"module4_exposed"
"B18.F3",0.0625,0.0625,106,0.1582,0.0552619560253148,27,"module4_exposed"
"B18.F4",0.1851,0.1851,107,0.1191,0.134068639053254,26,"module4_exposed"
"B18.F5",0.101,0.101,106,0.136,0.0718292357486496,27,"module4_exposed"
"B19.F1",0.1121,0.1121,107,0.2608,0.35265325443787,26,"module4_exposed"
"B19.F2",0.0552,0.0552,106,0.2744,0.234378936759889,27,"module4_exposed"
"B19.F3",0.1205,0.1205,106,0.1293,0.0686150490730644,27,"module4_exposed"
"B19.F4",0.1273,0.1273,106,0.1372,0.0335439895879456,27,"module4_exposed"
"B19.F5",0.0947,0.0947,107,0.2213,0.144790006574622,26,"module4_exposed"
"B20.F1",0.0647,0.0647,107,0.1739,0.0462433778946599,26,"module4_exposed"
"B20.F2",0.1074,0.1074,106,0.0952,0.0435937688684941,27,"module4_exposed"
"B20.F3",0.0625,0.0625,107,0.1792,0.175063451516721,26,"module4_exposed"
"B20.F4",0.1326,0.1326,106,0.0901,0.0641901511864882,27,"module4_exposed"
"B20.F5",0.139,0.139,106,0.1547,0.0602315877041152,27,"module4_exposed"
