"","FP","TP","TN","FN","accuracy"
"B1.F1",2,3,3,2,0.6
"B1.F2",0,4,5,1,0.9
"B1.F3",4,5,1,0,0.6
"B1.F4",2,2,3,3,0.5
"B1.F5",2,1,3,4,0.4
"B1.F11",1,1,4,4,0.5
"B1.F21",3,4,2,1,0.6
"B1.F31",3,2,2,3,0.4
"B1.F41",1,2,4,3,0.6
"B1.F51",1,1,4,4,0.5
"B1.F12",2,2,3,3,0.5
"B1.F22",2,3,3,2,0.6
"B1.F32",0,1,5,4,0.6
"B1.F42",3,2,2,3,0.4
"B1.F52",2,1,3,4,0.4
"B1.F13",1,2,4,3,0.6
"B1.F23",1,3,4,2,0.7
"B1.F33",2,4,3,1,0.7
"B1.F43",2,3,3,2,0.6
"B1.F53",3,2,2,3,0.4
"B1.F14",1,1,4,4,0.5
"B1.F24",5,3,0,2,0.3
"B1.F34",1,3,4,2,0.7
"B1.F44",3,5,2,0,0.7
"B1.F54",1,3,4,2,0.7
"B1.F15",2,2,3,3,0.5
"B1.F25",2,2,3,3,0.5
"B1.F35",4,3,1,2,0.4
"B1.F45",1,2,4,3,0.6
"B1.F55",2,3,3,2,0.6
"B1.F16",2,4,3,1,0.7
"B1.F26",2,2,3,3,0.5
"B1.F36",2,3,3,2,0.6
"B1.F46",3,4,2,1,0.6
"B1.F56",1,2,4,3,0.6
"B1.F17",3,4,2,1,0.6
"B1.F27",2,1,3,4,0.4
"B1.F37",3,2,2,3,0.4
"B1.F47",1,3,4,2,0.7
"B1.F57",2,2,3,3,0.5
"B1.F18",3,4,2,1,0.6
"B1.F28",3,2,2,3,0.4
"B1.F38",2,3,3,2,0.6
"B1.F48",3,2,2,3,0.4
"B1.F58",1,2,4,3,0.6
"B1.F19",1,2,4,3,0.6
"B1.F29",3,3,2,2,0.5
"B1.F39",2,2,3,3,0.5
"B1.F49",3,4,2,1,0.6
"B1.F59",3,2,2,3,0.4
"B1.F110",2,3,3,2,0.6
"B1.F210",1,1,4,4,0.5
"B1.F310",3,4,2,1,0.6
"B1.F410",3,2,2,3,0.4
"B1.F510",1,1,4,4,0.5
"B1.F111",3,3,2,2,0.5
"B1.F211",3,2,2,3,0.4
"B1.F311",1,2,4,3,0.6
"B1.F411",1,2,4,3,0.6
"B1.F511",2,4,3,1,0.7
"B1.F112",3,4,2,1,0.6
"B1.F212",2,2,3,3,0.5
"B1.F312",2,3,3,2,0.6
"B1.F412",1,3,4,2,0.7
"B1.F512",2,4,3,1,0.7
"B1.F113",2,2,3,3,0.5
"B1.F213",3,3,2,2,0.5
"B1.F313",1,1,4,4,0.5
"B1.F413",3,2,2,3,0.4
"B1.F513",3,2,2,3,0.4
"B1.F114",1,3,4,2,0.7
"B1.F214",1,3,4,2,0.7
"B1.F314",0,2,5,3,0.7
"B1.F414",3,4,2,1,0.6
"B1.F514",3,4,2,1,0.6
"B1.F115",2,5,3,0,0.8
"B1.F215",0,1,5,4,0.6
"B1.F315",3,2,2,3,0.4
"B1.F415",2,4,3,1,0.7
"B1.F515",3,1,2,4,0.3
"B1.F116",1,2,4,3,0.6
"B1.F216",3,2,2,3,0.4
"B1.F316",3,2,2,3,0.4
"B1.F416",1,2,4,3,0.6
"B1.F516",1,3,4,2,0.7
"B1.F117",2,2,3,3,0.5
"B1.F217",3,1,2,4,0.3
"B1.F317",2,2,3,3,0.5
"B1.F417",4,2,1,3,0.3
"B1.F517",3,2,2,3,0.4
"B1.F118",2,3,3,2,0.6
"B1.F218",3,4,2,1,0.6
"B1.F318",1,2,4,3,0.6
"B1.F418",1,2,4,3,0.6
"B1.F518",2,3,3,2,0.6
"B1.F119",2,1,3,4,0.4
"B1.F219",1,4,4,1,0.8
"B1.F319",4,0,1,5,0.1
"B1.F419",1,2,4,3,0.6
"B1.F519",4,5,1,0,0.6
