"","FP","TP","TN","FN","accuracy"
"B1.F1",4,3,5,6,0.444444444444444
"B1.F2",7,8,2,2,0.526315789473684
"B1.F3",4,5,5,4,0.555555555555556
"B1.F4",3,2,7,8,0.45
"B1.F5",3,5,7,4,0.631578947368421
"B1.F11",5,7,4,3,0.578947368421053
"B1.F21",4,3,6,6,0.473684210526316
"B1.F31",1,3,8,6,0.611111111111111
"B1.F41",3,4,6,5,0.555555555555556
"B1.F51",1,8,9,2,0.85
"B1.F12",6,5,4,4,0.473684210526316
"B1.F22",3,5,7,5,0.6
"B1.F32",8,5,1,4,0.333333333333333
"B1.F42",6,7,3,3,0.526315789473684
"B1.F52",4,7,5,2,0.666666666666667
"B1.F13",5,5,4,5,0.473684210526316
"B1.F23",4,4,6,5,0.526315789473684
"B1.F33",4,4,5,5,0.5
"B1.F43",8,6,2,4,0.4
"B1.F53",3,6,6,3,0.666666666666667
"B1.F14",1,4,8,6,0.631578947368421
"B1.F24",4,6,6,3,0.631578947368421
"B1.F34",5,5,4,4,0.5
"B1.F44",4,4,5,6,0.473684210526316
"B1.F54",4,5,6,4,0.578947368421053
"B1.F15",5,4,5,5,0.473684210526316
"B1.F25",6,6,3,3,0.5
"B1.F35",3,4,6,5,0.555555555555556
"B1.F45",6,6,3,4,0.473684210526316
"B1.F55",4,6,6,4,0.6
"B1.F16",2,6,8,4,0.7
"B1.F26",2,4,7,6,0.578947368421053
"B1.F36",3,5,7,4,0.631578947368421
"B1.F46",5,5,4,4,0.5
"B1.F56",2,6,7,3,0.722222222222222
"B1.F17",4,6,5,3,0.611111111111111
"B1.F27",3,4,6,6,0.526315789473684
"B1.F37",4,5,5,4,0.555555555555556
"B1.F47",2,5,8,5,0.65
"B1.F57",6,6,4,3,0.526315789473684
"B1.F18",4,3,5,7,0.421052631578947
"B1.F28",2,8,8,1,0.842105263157895
"B1.F38",3,5,7,5,0.6
"B1.F48",4,7,5,2,0.666666666666667
"B1.F58",4,6,5,3,0.611111111111111
"B1.F19",5,5,5,4,0.526315789473684
"B1.F29",2,5,7,5,0.631578947368421
"B1.F39",5,5,4,4,0.5
"B1.F49",5,6,5,4,0.55
"B1.F59",4,4,5,5,0.5
"B1.F110",3,6,7,3,0.684210526315789
"B1.F210",2,2,7,8,0.473684210526316
"B1.F310",3,5,6,5,0.578947368421053
"B1.F410",2,8,7,1,0.833333333333333
"B1.F510",5,4,5,5,0.473684210526316
"B1.F111",3,5,6,4,0.611111111111111
"B1.F211",7,5,3,5,0.4
"B1.F311",3,9,7,1,0.8
"B1.F411",3,2,6,7,0.444444444444444
"B1.F511",3,4,6,5,0.555555555555556
"B1.F112",6,6,3,4,0.473684210526316
"B1.F212",3,5,7,5,0.6
"B1.F312",3,4,7,5,0.578947368421053
"B1.F412",2,3,7,6,0.555555555555556
"B1.F512",3,5,6,4,0.611111111111111
"B1.F113",0,2,9,7,0.611111111111111
"B1.F213",4,6,5,3,0.611111111111111
"B1.F313",4,4,6,5,0.526315789473684
"B1.F413",5,6,5,4,0.55
"B1.F513",5,8,4,2,0.631578947368421
"B1.F114",4,7,6,2,0.684210526315789
"B1.F214",4,2,5,8,0.368421052631579
"B1.F314",2,4,8,6,0.6
"B1.F414",3,4,6,5,0.555555555555556
"B1.F514",6,5,3,4,0.444444444444444
"B1.F115",3,3,6,6,0.5
"B1.F215",4,6,5,3,0.611111111111111
"B1.F315",4,4,6,5,0.526315789473684
"B1.F415",4,6,5,4,0.578947368421053
"B1.F515",4,8,6,2,0.7
"B1.F116",4,2,5,7,0.388888888888889
"B1.F216",2,5,8,5,0.65
"B1.F316",5,4,4,6,0.421052631578947
"B1.F416",4,3,5,6,0.444444444444444
"B1.F516",4,5,6,4,0.578947368421053
"B1.F117",7,8,3,2,0.55
"B1.F217",8,5,2,4,0.368421052631579
"B1.F317",3,4,6,5,0.555555555555556
"B1.F417",2,6,7,4,0.684210526315789
"B1.F517",4,4,5,5,0.5
"B1.F118",4,7,5,2,0.666666666666667
"B1.F218",4,6,5,3,0.611111111111111
"B1.F318",4,6,5,4,0.578947368421053
"B1.F418",4,5,6,5,0.55
"B1.F518",3,3,7,6,0.526315789473684
"B1.F119",5,8,4,2,0.631578947368421
"B1.F219",3,6,6,4,0.631578947368421
"B1.F319",3,4,6,5,0.555555555555556
"B1.F419",4,6,6,3,0.631578947368421
"B1.F519",4,5,6,4,0.578947368421053
