"","FP","TP","TN","FN","accuracy"
"B1.F1",6,5,4,5,0.45
"B1.F2",3,6,7,4,0.65
"B1.F3",3,6,7,4,0.65
"B1.F4",6,6,4,4,0.5
"B1.F5",5,7,5,3,0.6
"B1.F11",2,8,8,2,0.8
"B1.F21",5,6,5,4,0.55
"B1.F31",3,7,7,3,0.7
"B1.F41",4,6,6,4,0.6
"B1.F51",5,5,5,5,0.5
"B1.F12",4,6,6,4,0.6
"B1.F22",7,6,3,4,0.45
"B1.F32",4,6,6,4,0.6
"B1.F42",6,5,4,5,0.45
"B1.F52",3,4,7,6,0.55
"B1.F13",5,3,5,7,0.4
"B1.F23",7,6,3,4,0.45
"B1.F33",6,6,4,4,0.5
"B1.F43",5,2,5,8,0.35
"B1.F53",6,7,4,3,0.55
"B1.F14",3,4,7,6,0.55
"B1.F24",8,8,2,2,0.5
"B1.F34",7,5,3,5,0.4
"B1.F44",5,5,5,5,0.5
"B1.F54",6,5,4,5,0.45
"B1.F15",3,5,7,5,0.6
"B1.F25",1,7,9,3,0.8
"B1.F35",4,5,6,5,0.55
"B1.F45",5,5,5,5,0.5
"B1.F55",7,8,3,2,0.55
"B1.F16",2,4,8,6,0.6
"B1.F26",5,5,5,5,0.5
"B1.F36",6,6,4,4,0.5
"B1.F46",5,5,5,5,0.5
"B1.F56",6,7,4,3,0.55
"B1.F17",6,4,4,6,0.4
"B1.F27",5,5,5,5,0.5
"B1.F37",6,4,4,6,0.4
"B1.F47",4,4,6,6,0.5
"B1.F57",2,4,8,6,0.6
"B1.F18",5,7,5,3,0.6
"B1.F28",5,2,5,8,0.35
"B1.F38",3,4,7,6,0.55
"B1.F48",4,5,6,5,0.55
"B1.F58",6,6,4,4,0.5
"B1.F19",5,8,5,2,0.65
"B1.F29",4,3,6,7,0.45
"B1.F39",4,7,6,3,0.65
"B1.F49",6,7,4,3,0.55
"B1.F59",7,7,3,3,0.5
"B1.F110",5,6,5,4,0.55
"B1.F210",5,6,5,4,0.55
"B1.F310",5,4,5,6,0.45
"B1.F410",6,8,4,2,0.6
"B1.F510",3,4,7,6,0.55
"B1.F111",3,4,7,6,0.55
"B1.F211",5,5,5,5,0.5
"B1.F311",3,7,7,3,0.7
"B1.F411",4,4,6,6,0.5
"B1.F511",5,9,5,1,0.7
"B1.F112",4,7,6,3,0.65
"B1.F212",6,6,4,4,0.5
"B1.F312",2,5,8,5,0.65
"B1.F412",3,7,7,3,0.7
"B1.F512",5,2,5,8,0.35
"B1.F113",3,7,7,3,0.7
"B1.F213",7,7,3,3,0.5
"B1.F313",6,6,4,4,0.5
"B1.F413",4,5,6,5,0.55
"B1.F513",6,7,4,3,0.55
"B1.F114",6,5,4,5,0.45
"B1.F214",5,6,5,4,0.55
"B1.F314",7,8,3,2,0.55
"B1.F414",4,4,6,6,0.5
"B1.F514",5,6,5,4,0.55
"B1.F115",2,6,8,4,0.7
"B1.F215",4,9,6,1,0.75
"B1.F315",4,7,6,3,0.65
"B1.F415",5,9,5,1,0.7
"B1.F515",2,7,8,3,0.75
"B1.F116",6,4,4,6,0.4
"B1.F216",6,6,4,4,0.5
"B1.F316",4,3,6,7,0.45
"B1.F416",5,4,5,6,0.45
"B1.F516",6,3,4,7,0.35
"B1.F117",3,5,7,5,0.6
"B1.F217",4,4,6,6,0.5
"B1.F317",4,7,6,3,0.65
"B1.F417",2,6,8,4,0.7
"B1.F517",7,6,3,4,0.45
"B1.F118",5,6,5,4,0.55
"B1.F218",5,6,5,4,0.55
"B1.F318",4,9,6,1,0.75
"B1.F418",3,6,7,4,0.65
"B1.F518",1,6,9,4,0.75
"B1.F119",2,5,8,5,0.65
"B1.F219",7,4,3,6,0.35
"B1.F319",5,5,5,5,0.5
"B1.F419",3,6,7,4,0.65
"B1.F519",5,3,5,7,0.4
