"","FP","TP","TN","FN","accuracy"
"B1.F1",4,5,6,5,0.55
"B1.F2",5,5,5,5,0.5
"B1.F3",4,6,6,4,0.6
"B1.F4",5,4,5,6,0.45
"B1.F5",4,5,6,5,0.55
"B1.F11",5,5,5,5,0.5
"B1.F21",4,4,6,6,0.5
"B1.F31",5,7,5,3,0.6
"B1.F41",3,4,7,6,0.55
"B1.F51",3,3,7,7,0.5
"B1.F12",6,6,4,4,0.5
"B1.F22",5,6,5,4,0.55
"B1.F32",6,3,4,7,0.35
"B1.F42",4,2,6,8,0.4
"B1.F52",5,3,5,7,0.4
"B1.F13",7,4,3,6,0.35
"B1.F23",5,5,5,5,0.5
"B1.F33",5,6,5,4,0.55
"B1.F43",6,4,4,6,0.4
"B1.F53",3,4,7,6,0.55
"B1.F14",3,7,7,3,0.7
"B1.F24",4,5,6,5,0.55
"B1.F34",4,7,6,3,0.65
"B1.F44",5,6,5,4,0.55
"B1.F54",7,4,3,6,0.35
"B1.F15",2,3,8,7,0.55
"B1.F25",7,5,3,5,0.4
"B1.F35",4,3,6,7,0.45
"B1.F45",6,5,4,5,0.45
"B1.F55",4,2,6,8,0.4
"B1.F16",3,4,7,6,0.55
"B1.F26",8,7,2,3,0.45
"B1.F36",5,4,5,6,0.45
"B1.F46",4,1,6,9,0.35
"B1.F56",9,7,1,3,0.4
"B1.F17",4,7,6,3,0.65
"B1.F27",5,3,5,7,0.4
"B1.F37",7,2,3,8,0.25
"B1.F47",6,6,4,4,0.5
"B1.F57",4,2,6,8,0.4
"B1.F18",6,4,4,6,0.4
"B1.F28",2,4,8,6,0.6
"B1.F38",2,3,8,7,0.55
"B1.F48",7,7,3,3,0.5
"B1.F58",4,5,6,5,0.55
"B1.F19",9,7,1,3,0.4
"B1.F29",3,1,7,9,0.4
"B1.F39",2,5,8,5,0.65
"B1.F49",6,6,4,4,0.5
"B1.F59",4,6,6,4,0.6
"B1.F110",5,6,5,4,0.55
"B1.F210",6,4,4,6,0.4
"B1.F310",6,6,4,4,0.5
"B1.F410",5,4,5,6,0.45
"B1.F510",7,5,3,5,0.4
"B1.F111",5,7,5,3,0.6
"B1.F211",5,4,5,6,0.45
"B1.F311",5,5,5,5,0.5
"B1.F411",5,4,5,6,0.45
"B1.F511",6,3,4,7,0.35
"B1.F112",3,2,7,8,0.45
"B1.F212",4,4,6,6,0.5
"B1.F312",6,6,4,4,0.5
"B1.F412",2,5,8,5,0.65
"B1.F512",6,7,4,3,0.55
"B1.F113",4,7,6,3,0.65
"B1.F213",7,6,3,4,0.45
"B1.F313",4,4,6,6,0.5
"B1.F413",4,5,6,5,0.55
"B1.F513",4,4,6,6,0.5
"B1.F114",2,6,8,4,0.7
"B1.F214",4,5,6,5,0.55
"B1.F314",8,6,2,4,0.4
"B1.F414",6,5,4,5,0.45
"B1.F514",4,5,6,5,0.55
"B1.F115",6,4,4,6,0.4
"B1.F215",4,4,6,6,0.5
"B1.F315",7,2,3,8,0.25
"B1.F415",9,3,1,7,0.2
"B1.F515",2,3,8,7,0.55
"B1.F116",6,5,4,5,0.45
"B1.F216",3,3,7,7,0.5
"B1.F316",5,9,5,1,0.7
"B1.F416",9,5,1,5,0.3
"B1.F516",6,5,4,5,0.45
"B1.F117",5,4,5,6,0.45
"B1.F217",5,5,5,5,0.5
"B1.F317",4,4,6,6,0.5
"B1.F417",6,3,4,7,0.35
"B1.F517",7,6,3,4,0.45
"B1.F118",8,6,2,4,0.4
"B1.F218",6,4,4,6,0.4
"B1.F318",3,4,7,6,0.55
"B1.F418",5,2,5,8,0.35
"B1.F518",5,5,5,5,0.5
"B1.F119",2,2,8,8,0.5
"B1.F219",5,5,5,5,0.5
"B1.F319",6,3,4,7,0.35
"B1.F419",8,5,2,5,0.35
"B1.F519",7,4,3,6,0.35
