"","FP","TP","TN","FN","accuracy"
"B1.F1",5,6,5,4,0.55
"B1.F2",5,4,5,6,0.45
"B1.F3",2,3,8,7,0.55
"B1.F4",5,4,5,6,0.45
"B1.F5",6,6,4,4,0.5
"B1.F11",6,6,4,4,0.5
"B1.F21",5,5,5,5,0.5
"B1.F31",4,5,6,5,0.55
"B1.F41",5,5,5,5,0.5
"B1.F51",3,3,7,7,0.5
"B1.F12",8,6,2,4,0.4
"B1.F22",4,5,6,5,0.55
"B1.F32",3,3,7,7,0.5
"B1.F42",4,4,6,6,0.5
"B1.F52",7,2,3,8,0.25
"B1.F13",5,4,5,6,0.45
"B1.F23",5,4,5,6,0.45
"B1.F33",3,5,7,5,0.6
"B1.F43",4,5,6,5,0.55
"B1.F53",5,6,5,4,0.55
"B1.F14",7,7,3,3,0.5
"B1.F24",5,4,5,6,0.45
"B1.F34",2,6,8,4,0.7
"B1.F44",4,4,6,6,0.5
"B1.F54",5,5,5,5,0.5
"B1.F15",4,5,6,5,0.55
"B1.F25",3,4,7,6,0.55
"B1.F35",6,6,4,4,0.5
"B1.F45",3,2,7,8,0.45
"B1.F55",5,7,5,3,0.6
"B1.F16",7,6,3,4,0.45
"B1.F26",4,4,6,6,0.5
"B1.F36",3,4,7,6,0.55
"B1.F46",6,2,4,8,0.3
"B1.F56",6,5,4,5,0.45
"B1.F17",5,5,5,5,0.5
"B1.F27",6,9,4,1,0.65
"B1.F37",3,6,7,4,0.65
"B1.F47",7,5,3,5,0.4
"B1.F57",8,5,2,5,0.35
"B1.F18",3,6,7,4,0.65
"B1.F28",4,9,6,1,0.75
"B1.F38",3,4,7,6,0.55
"B1.F48",4,8,6,2,0.7
"B1.F58",5,5,5,5,0.5
"B1.F19",3,4,7,6,0.55
"B1.F29",6,6,4,4,0.5
"B1.F39",7,5,3,5,0.4
"B1.F49",1,6,9,4,0.75
"B1.F59",2,4,8,6,0.6
"B1.F110",5,4,5,6,0.45
"B1.F210",7,4,3,6,0.35
"B1.F310",6,3,4,7,0.35
"B1.F410",3,2,7,8,0.45
"B1.F510",4,4,6,6,0.5
"B1.F111",6,7,4,3,0.55
"B1.F211",4,4,6,6,0.5
"B1.F311",2,4,8,6,0.6
"B1.F411",2,7,8,3,0.75
"B1.F511",2,2,8,8,0.5
"B1.F112",4,2,6,8,0.4
"B1.F212",4,5,6,5,0.55
"B1.F312",5,5,5,5,0.5
"B1.F412",6,5,4,5,0.45
"B1.F512",3,5,7,5,0.6
"B1.F113",3,4,7,6,0.55
"B1.F213",5,6,5,4,0.55
"B1.F313",4,4,6,6,0.5
"B1.F413",7,5,3,5,0.4
"B1.F513",6,5,4,5,0.45
"B1.F114",4,8,6,2,0.7
"B1.F214",6,5,4,5,0.45
"B1.F314",6,6,4,4,0.5
"B1.F414",3,6,7,4,0.65
"B1.F514",0,4,10,6,0.7
"B1.F115",7,8,3,2,0.55
"B1.F215",5,2,5,8,0.35
"B1.F315",8,6,2,4,0.4
"B1.F415",4,3,6,7,0.45
"B1.F515",3,4,7,6,0.55
"B1.F116",5,8,5,2,0.65
"B1.F216",4,4,6,6,0.5
"B1.F316",4,5,6,5,0.55
"B1.F416",7,5,3,5,0.4
"B1.F516",5,4,5,6,0.45
"B1.F117",4,6,6,4,0.6
"B1.F217",6,5,4,5,0.45
"B1.F317",3,4,7,6,0.55
"B1.F417",4,7,6,3,0.65
"B1.F517",4,5,6,5,0.55
"B1.F118",5,6,5,4,0.55
"B1.F218",3,7,7,3,0.7
"B1.F318",6,5,4,5,0.45
"B1.F418",4,5,6,5,0.55
"B1.F518",7,4,3,6,0.35
"B1.F119",3,5,7,5,0.6
"B1.F219",2,6,8,4,0.7
"B1.F319",3,6,7,4,0.65
"B1.F419",4,6,6,4,0.6
"B1.F519",5,6,5,4,0.55
