"","FP","TP","TN","FN","accuracy"
"B1.F1",3,3,4,5,0.466666666666667
"B1.F2",5,6,2,1,0.571428571428571
"B1.F3",6,4,2,4,0.375
"B1.F4",5,4,3,4,0.4375
"B1.F5",2,3,6,4,0.6
"B1.F11",4,3,3,5,0.4
"B1.F21",4,4,4,4,0.5
"B1.F31",6,2,1,6,0.2
"B1.F41",2,2,6,5,0.533333333333333
"B1.F51",6,2,2,5,0.266666666666667
"B1.F12",4,2,4,6,0.375
"B1.F22",4,2,4,6,0.375
"B1.F32",4,3,3,5,0.4
"B1.F42",4,4,4,3,0.533333333333333
"B1.F52",3,5,4,2,0.642857142857143
"B1.F13",3,4,5,4,0.5625
"B1.F23",5,4,2,3,0.428571428571429
"B1.F33",5,1,2,7,0.2
"B1.F43",6,1,2,6,0.2
"B1.F53",3,1,5,7,0.375
"B1.F14",3,3,5,5,0.5
"B1.F24",5,2,2,5,0.285714285714286
"B1.F34",5,3,3,5,0.375
"B1.F44",4,5,4,2,0.6
"B1.F54",3,4,4,4,0.533333333333333
"B1.F15",4,2,3,6,0.333333333333333
"B1.F25",3,4,5,3,0.6
"B1.F35",2,2,5,5,0.5
"B1.F45",1,5,7,3,0.75
"B1.F55",6,5,2,3,0.4375
"B1.F16",4,3,4,4,0.466666666666667
"B1.F26",2,3,5,5,0.533333333333333
"B1.F36",4,2,4,5,0.4
"B1.F46",5,4,3,4,0.4375
"B1.F56",3,5,4,3,0.6
"B1.F17",2,5,5,3,0.666666666666667
"B1.F27",4,6,4,2,0.625
"B1.F37",4,1,4,7,0.3125
"B1.F47",6,7,2,0,0.6
"B1.F57",5,2,2,5,0.285714285714286
"B1.F18",4,4,4,4,0.5
"B1.F28",4,3,3,4,0.428571428571429
"B1.F38",6,4,2,4,0.375
"B1.F48",3,1,5,6,0.4
"B1.F58",4,6,3,2,0.6
"B1.F19",2,1,6,6,0.466666666666667
"B1.F29",2,5,5,3,0.666666666666667
"B1.F39",3,5,4,3,0.6
"B1.F49",6,6,2,1,0.533333333333333
"B1.F59",5,1,3,7,0.25
"B1.F110",2,3,6,5,0.5625
"B1.F210",5,4,3,4,0.4375
"B1.F310",4,4,3,3,0.5
"B1.F410",3,3,5,4,0.533333333333333
"B1.F510",5,6,2,2,0.533333333333333
"B1.F111",5,4,3,4,0.4375
"B1.F211",6,4,2,3,0.4
"B1.F311",4,3,3,5,0.4
"B1.F411",3,1,5,7,0.375
"B1.F511",3,2,4,5,0.428571428571429
"B1.F112",3,2,4,6,0.4
"B1.F212",6,4,2,4,0.375
"B1.F312",7,5,1,2,0.4
"B1.F412",3,5,5,2,0.666666666666667
"B1.F512",3,3,4,5,0.466666666666667
"B1.F113",4,2,4,5,0.4
"B1.F213",2,4,5,4,0.6
"B1.F313",4,2,4,5,0.4
"B1.F413",4,3,4,5,0.4375
"B1.F513",5,2,2,6,0.266666666666667
"B1.F114",3,3,4,4,0.5
"B1.F214",5,4,2,4,0.4
"B1.F314",3,3,5,4,0.533333333333333
"B1.F414",4,4,4,4,0.5
"B1.F514",5,3,3,5,0.375
"B1.F115",2,2,5,5,0.5
"B1.F215",1,2,7,5,0.6
"B1.F315",3,2,4,6,0.4
"B1.F415",4,3,4,5,0.4375
"B1.F515",5,4,3,4,0.4375
"B1.F116",2,5,5,3,0.666666666666667
"B1.F216",3,4,4,4,0.533333333333333
"B1.F316",6,5,2,3,0.4375
"B1.F416",2,1,6,6,0.466666666666667
"B1.F516",3,5,5,2,0.666666666666667
"B1.F117",6,3,2,5,0.3125
"B1.F217",5,4,2,3,0.428571428571429
"B1.F317",3,4,5,4,0.5625
"B1.F417",6,3,2,5,0.3125
"B1.F517",2,3,5,4,0.571428571428571
"B1.F118",4,4,4,3,0.533333333333333
"B1.F218",5,1,3,7,0.25
"B1.F318",3,3,4,4,0.5
"B1.F418",2,6,5,2,0.733333333333333
"B1.F518",2,3,6,5,0.5625
"B1.F119",4,5,4,2,0.6
"B1.F219",6,2,1,6,0.2
"B1.F319",3,6,4,2,0.666666666666667
"B1.F419",5,2,3,6,0.3125
"B1.F519",2,4,6,3,0.666666666666667
