"","FP","TP","TN","FN","accuracy"
"B1.F1",2,3,3,2,0.6
"B1.F2",2,3,3,2,0.6
"B1.F3",1,2,4,3,0.6
"B1.F4",4,1,1,4,0.2
"B1.F5",4,3,2,3,0.416666666666667
"B1.F11",3,3,2,2,0.5
"B1.F21",4,2,2,3,0.363636363636364
"B1.F31",1,1,4,5,0.454545454545455
"B1.F41",1,3,4,2,0.7
"B1.F51",0,1,5,4,0.6
"B1.F12",2,3,3,2,0.6
"B1.F22",1,3,4,2,0.7
"B1.F32",3,3,3,2,0.545454545454545
"B1.F42",2,1,3,4,0.4
"B1.F52",1,1,4,5,0.454545454545455
"B1.F13",2,1,3,4,0.4
"B1.F23",2,2,3,3,0.5
"B1.F33",4,2,2,4,0.333333333333333
"B1.F43",1,3,4,2,0.7
"B1.F53",3,4,2,1,0.6
"B1.F14",3,4,2,1,0.6
"B1.F24",1,2,4,3,0.6
"B1.F34",3,2,3,3,0.454545454545455
"B1.F44",1,4,4,1,0.8
"B1.F54",3,1,2,5,0.272727272727273
"B1.F15",2,3,3,2,0.6
"B1.F25",1,2,4,4,0.545454545454545
"B1.F35",1,2,4,3,0.6
"B1.F45",1,2,4,3,0.6
"B1.F55",4,3,2,2,0.454545454545455
"B1.F16",4,4,2,1,0.545454545454545
"B1.F26",1,2,4,4,0.545454545454545
"B1.F36",2,2,3,3,0.5
"B1.F46",1,1,4,4,0.5
"B1.F56",1,2,4,3,0.6
"B1.F17",3,0,3,6,0.25
"B1.F27",2,1,3,4,0.4
"B1.F37",2,1,3,4,0.4
"B1.F47",3,2,2,3,0.4
"B1.F57",4,1,1,4,0.2
"B1.F18",3,2,2,3,0.4
"B1.F28",2,2,4,3,0.545454545454545
"B1.F38",1,4,4,1,0.8
"B1.F48",2,2,3,3,0.5
"B1.F58",2,2,3,4,0.454545454545455
"B1.F19",3,4,2,1,0.6
"B1.F29",2,2,4,4,0.5
"B1.F39",2,3,3,2,0.6
"B1.F49",1,1,4,4,0.5
"B1.F59",3,1,2,4,0.3
"B1.F110",3,1,3,4,0.363636363636364
"B1.F210",2,2,3,4,0.454545454545455
"B1.F310",2,4,3,1,0.7
"B1.F410",0,3,5,2,0.8
"B1.F510",0,4,5,1,0.9
"B1.F111",3,2,3,3,0.454545454545455
"B1.F211",2,2,3,3,0.5
"B1.F311",2,2,3,3,0.5
"B1.F411",2,4,3,1,0.7
"B1.F511",3,3,2,3,0.454545454545455
"B1.F112",4,1,2,4,0.272727272727273
"B1.F212",1,2,4,3,0.6
"B1.F312",4,0,1,5,0.1
"B1.F412",2,1,3,4,0.4
"B1.F512",1,5,4,1,0.818181818181818
"B1.F113",2,3,3,2,0.6
"B1.F213",3,3,2,2,0.5
"B1.F313",0,3,5,3,0.727272727272727
"B1.F413",3,3,3,2,0.545454545454545
"B1.F513",3,3,2,2,0.5
"B1.F114",2,2,3,4,0.454545454545455
"B1.F214",5,3,1,2,0.363636363636364
"B1.F314",3,3,2,2,0.5
"B1.F414",3,2,2,3,0.4
"B1.F514",2,0,3,5,0.3
"B1.F115",2,3,3,2,0.6
"B1.F215",1,2,4,4,0.545454545454545
"B1.F315",3,3,3,2,0.545454545454545
"B1.F415",3,1,2,4,0.3
"B1.F515",4,4,1,1,0.5
"B1.F116",4,3,1,2,0.4
"B1.F216",3,1,2,4,0.3
"B1.F316",3,5,2,0,0.7
"B1.F416",3,0,2,5,0.2
"B1.F516",3,3,3,3,0.5
"B1.F117",1,3,4,2,0.7
"B1.F217",3,3,2,2,0.5
"B1.F317",2,2,3,3,0.5
"B1.F417",2,3,3,3,0.545454545454545
"B1.F517",0,1,6,4,0.636363636363636
"B1.F118",2,4,3,1,0.7
"B1.F218",3,1,2,4,0.3
"B1.F318",3,0,3,5,0.272727272727273
"B1.F418",2,3,3,2,0.6
"B1.F518",3,1,2,5,0.272727272727273
"B1.F119",2,2,4,3,0.545454545454545
"B1.F219",1,2,4,3,0.6
"B1.F319",3,2,2,3,0.4
"B1.F419",2,1,3,4,0.4
"B1.F519",1,5,4,1,0.818181818181818
