"","mean","sd","crossval_mean","crossval_sd","module"
"mother_weight",1.28703593138319,2.2495786985722,0.537,0.107219212811695,"module1"
"HAZ_6_8w",1.25951714794612,2.20619369227688,0.537,0.107219212811695,"module1"
"age_mother",1.08311130235999,1.88947864452584,0.537,0.107219212811695,"module1"
"household_income",0.982761732380753,1.74957942220823,0.537,0.107219212811695,"module1"
"birth_weight",0.974592395276967,1.71172670861329,0.537,0.107219212811695,"module1"
"maternal_education",0.924115972249787,1.6213939014215,0.537,0.107219212811695,"module1"
"parity",0.464133528285483,0.820961420011205,0.537,0.107219212811695,"module1"
"place_delivery",0.399185325076349,0.73830262397061,0.537,0.107219212811695,"module1"
"age_at_first_dose",0.381812986629323,0.676286806226518,0.537,0.107219212811695,"module1"
"type_house",0.278088336005534,0.515687052096539,0.537,0.107219212811695,"module1"
"sex_baby",0.254441936919357,0.460513600179562,0.537,0.107219212811695,"module1"
"refrigerator",0.244077092849165,0.442435297943309,0.537,0.107219212811695,"module1"
"crowding_wami",0.229392778902804,0.410136005504107,0.537,0.107219212811695,"module1"
"water_treat_wami",0.216308401777547,0.38433439388495,0.537,0.107219212811695,"module1"
"sanitation",0.204666865234132,0.361549371202161,0.537,0.107219212811695,"module1"
"mode_delivery",0.201160875660552,0.367932156611315,0.537,0.107219212811695,"module1"
"breastfed_child",0.15288653641804,0.281732346270334,0.537,0.107219212811695,"module1"
"kitchen",0.14937219245711,0.26966368361068,0.537,0.107219212811695,"module1"
"kitchen.1",0.147436438071385,0.264751410363499,0.537,0.107219212811695,"module1"
"MB1_IgA",1.36101573040457,2.41707420771065,0.5975,0.100346621489936,"module2"
"MPO_BS5_Concngml",1.01835785107098,1.80777296161602,0.5975,0.100346621489936,"module2"
"A1AT_BS5_Concugml",1.00353420794161,1.79761470786903,0.5975,0.100346621489936,"module2"
"A1AT_BS3_Concugml",0.938349585653461,1.65620014457893,0.5975,0.100346621489936,"module2"
"AG_Concugml",0.93290672671498,1.63820415656166,0.5975,0.100346621489936,"module2"
"BM1_IgA",0.880322559831359,1.55065644505601,0.5975,0.100346621489936,"module2"
"MPO_BS3_Concngml",0.875493094052664,1.54425343856561,0.5975,0.100346621489936,"module2"
"MB1_IgG",0.795294545736839,1.40091818446459,0.5975,0.100346621489936,"module2"
"CB1_IgG",0.79174240423751,1.38837488255663,0.5975,0.100346621489936,"module2"
"OPV_IPV",0.763071155070194,1.42532842740108,0.5975,0.100346621489936,"module2"
"pre_exposed",0.430454438336991,0.8232586824155,0.5975,0.100346621489936,"module2"
"antibiotic_exposure",0.124552244506037,0.221145029588128,0.5975,0.100346621489936,"module2"
"Klebsiella",0.505477432007997,0.893814073084709,0.5275,0.102832363337108,"module3"
"Rothia",0.482068376104391,0.848766656942521,0.5275,0.102832363337108,"module3"
"Veillonella",0.481483075864798,0.858474270686699,0.5275,0.102832363337108,"module3"
"Streptococcus",0.474223263409068,0.83957262023298,0.5275,0.102832363337108,"module3"
"Escherichia/Shigella",0.441644230700159,0.778988363870839,0.5275,0.102832363337108,"module3"
"Staphylococcus",0.421412718372994,0.742374906889824,0.5275,0.102832363337108,"module3"
"Bifidobacterium",0.419577106887501,0.73788688743414,0.5275,0.102832363337108,"module3"
"Enterococcus",0.36249420289335,0.64996828315235,0.5275,0.102832363337108,"module3"
"Lactobacillus",0.355305073608012,0.626656493339848,0.5275,0.102832363337108,"module3"
"Corynebacterium_1",0.345175916250932,0.620152433560938,0.5275,0.102832363337108,"module3"
"Dolosigranulum",0.311023371628524,0.580794023550567,0.5275,0.102832363337108,"module3"
"Gemella",0.286160194514406,0.50767851527054,0.5275,0.102832363337108,"module3"
"Enterobacter",0.281996327960459,0.509971845375926,0.5275,0.102832363337108,"module3"
"unassigned_Lachnospiraceae",0.250308524171574,0.4591986063102,0.5275,0.102832363337108,"module3"
"Atopobium",0.198022781702496,0.357874465290821,0.5275,0.102832363337108,"module3"
"Actinomyces",0.180451010988313,0.326096735579788,0.5275,0.102832363337108,"module3"
"Clostridium_sensu_stricto_1",0.176923872336649,0.323615751963282,0.5275,0.102832363337108,"module3"
"Bacteroides",0.172216889484281,0.310296027481616,0.5275,0.102832363337108,"module3"
"Collinsella",0.150873902152553,0.268810084217439,0.5275,0.102832363337108,"module3"
"Acinetobacter",0.145527841716667,0.301433753206658,0.5275,0.102832363337108,"module3"
"Haemophilus",0.13114740700032,0.234866797635881,0.5275,0.102832363337108,"module3"
"unassigned_Enterobacteriaceae",0.128571353841814,0.233306395732939,0.5275,0.102832363337108,"module3"
"Finegoldia",0.126031294429528,0.226331965823022,0.5275,0.102832363337108,"module3"
"Anaerococcus",0.118170395076479,0.214614251204642,0.5275,0.102832363337108,"module3"
"Prevotella",0.106581667231901,0.19723310318092,0.5275,0.102832363337108,"module3"
"Salmonella",0.106017883197254,0.218663843956975,0.5275,0.102832363337108,"module3"
"Clostridioides",0.104759037491363,0.1933387948433,0.5275,0.102832363337108,"module3"
"Senegalimassilia",0.0963535088371554,0.178818759272976,0.5275,0.102832363337108,"module3"
"Negativicoccus",0.0954343066660088,0.188844442131815,0.5275,0.102832363337108,"module3"
"Tyzzerella_3",0.0949307061283444,0.191936312951814,0.5275,0.102832363337108,"module3"
"Megasphaera",0.0946210472282959,0.173257542232642,0.5275,0.102832363337108,"module3"
"Peptoniphilus",0.0933526179451251,0.170631605188336,0.5275,0.102832363337108,"module3"
"Sutterella",0.0890755319525948,0.173236629783778,0.5275,0.102832363337108,"module3"
"Parabacteroides",0.0871573435631976,0.164285827925627,0.5275,0.102832363337108,"module3"
"Granulicatella",0.08703130280359,0.159419509262575,0.5275,0.102832363337108,"module3"
"Eggerthella",0.0836812577507314,0.154137473012462,0.5275,0.102832363337108,"module3"
"Cutibacterium",0.0768921849444381,0.142033815612151,0.5275,0.102832363337108,"module3"
"Dialister",0.069412407410225,0.13643302302693,0.5275,0.102832363337108,"module3"
"Citrobacter",0.061614129216148,0.114730605420487,0.5275,0.102832363337108,"module3"
"Prevotella_9",0.0590847530136391,0.119712264164339,0.5275,0.102832363337108,"module3"
"Olsenella",0.0454537447092361,0.0881086719958006,0.5275,0.102832363337108,"module3"
"Lachnoclostridium",0.0453375630914128,0.0831569890303299,0.5275,0.102832363337108,"module3"
"Libanicoccus",0.0447643956113495,0.084118135696357,0.5275,0.102832363337108,"module3"
"Megamonas",0.0436256336614447,0.0833414246523869,0.5275,0.102832363337108,"module3"
"Ezakiella",0.0433997610783972,0.0862872665583295,0.5275,0.102832363337108,"module3"
"Weissella",0.0387092358290644,0.0787263690080433,0.5275,0.102832363337108,"module3"
"Blautia",0.0383193463046005,0.0720401501338438,0.5275,0.102832363337108,"module3"
"Flavonifractor",0.0380127904186437,0.0748590545097203,0.5275,0.102832363337108,"module3"
"Proteus",0.0380049527493872,0.0828357355218189,0.5275,0.102832363337108,"module3"
"Dermabacter",0.0349267567031649,0.0678159610576789,0.5275,0.102832363337108,"module3"
"Erysipelatoclostridium",0.0332438933336336,0.0662567351566488,0.5275,0.102832363337108,"module3"
"Morganella",0.0318687033274073,0.0674297151370226,0.5275,0.102832363337108,"module3"
"Kocuria",0.0303245058597124,0.0603766561187947,0.5275,0.102832363337108,"module3"
"Varibaculum",0.0279894766393644,0.0549294155866374,0.5275,0.102832363337108,"module3"
"Fusobacterium",0.0257990522174951,0.0487803495804621,0.5275,0.102832363337108,"module3"
"Holdemanella",0.0250534073342552,0.051499572440793,0.5275,0.102832363337108,"module3"
"Raoultella",0.0246733922087218,0.0474876523555529,0.5275,0.102832363337108,"module3"
"Catenibacterium",0.0242107231566539,0.0464263703089981,0.5275,0.102832363337108,"module3"
"Slackia",0.0241179507274754,0.043819086223488,0.5275,0.102832363337108,"module3"
"Actinobacillus",0.0216853099643208,0.0489132270826263,0.5275,0.102832363337108,"module3"
"Porphyromonas",0.0214874704955079,0.0405998142051574,0.5275,0.102832363337108,"module3"
"Scardovia",0.0208875182983665,0.0492558141251191,0.5275,0.102832363337108,"module3"
"Prevotella_7",0.0205226522902266,0.0390763187461303,0.5275,0.102832363337108,"module3"
"Pseudomonas",0.0203696675481413,0.0464026957149106,0.5275,0.102832363337108,"module3"
"Cronobacter",0.0197948223897978,0.0403650355421279,0.5275,0.102832363337108,"module3"
"Akkermansia",0.0183617984409116,0.0369053059006529,0.5275,0.102832363337108,"module3"
"Eubacterium",0.0180209897056065,0.0395512957190668,0.5275,0.102832363337108,"module3"
"Tyzzerella_4",0.0177733074062945,0.039569334948147,0.5275,0.102832363337108,"module3"
"Lactococcus",0.0174885220342987,0.0445702870890031,0.5275,0.102832363337108,"module3"
"Peptostreptococcus",0.0174524254081899,0.0354449099037253,0.5275,0.102832363337108,"module3"
"Campylobacter",0.017243748276227,0.0348682451345649,0.5275,0.102832363337108,"module3"
"Dorea",0.0168816274100462,0.0399647460216238,0.5275,0.102832363337108,"module3"
"Lawsonella",0.016242551935038,0.0425660960384032,0.5275,0.102832363337108,"module3"
"unassigned_Erysipelotrichaceae",0.0156722069508427,0.0350829545953495,0.5275,0.102832363337108,"module3"
"Bacillus",0.0151678711745133,0.0350884576759282,0.5275,0.102832363337108,"module3"
"Paeniclostridium",0.0143122659792844,0.0309517107084968,0.5275,0.102832363337108,"module3"
"Solobacterium",0.0137225216910886,0.0283430531247498,0.5275,0.102832363337108,"module3"
"Eikenella",0.0134302825535226,0.0273332391645614,0.5275,0.102832363337108,"module3"
"Sellimonas",0.0128401111663706,0.0286220537437429,0.5275,0.102832363337108,"module3"
"Gordonibacter",0.0121131664550259,0.029615823540195,0.5275,0.102832363337108,"module3"
"Hungatella",0.0120621107100066,0.0265188724848145,0.5275,0.102832363337108,"module3"
"Aeromonas",0.0114460534171058,0.0284199643843012,0.5275,0.102832363337108,"module3"
"Allisonella",0.0111128273150026,0.0232101181959282,0.5275,0.102832363337108,"module3"
"Enhydrobacter",0.0104202213343684,0.0331683468816759,0.5275,0.102832363337108,"module3"
"Lachnoanaerobaculum",0.0101120585170667,0.0216159627159275,0.5275,0.102832363337108,"module3"
"UBA1819",0.00987450705007601,0.0197242058944782,0.5275,0.102832363337108,"module3"
"Aggregatibacter",0.00970693979827355,0.0247078760818139,0.5275,0.102832363337108,"module3"
"Bilophila",0.00954270916716271,0.0219563689040763,0.5275,0.102832363337108,"module3"
"Stenotrophomonas",0.00930166637663717,0.0213904757805744,0.5275,0.102832363337108,"module3"
"Acidaminococcus",0.00927476495976055,0.0187547068704675,0.5275,0.102832363337108,"module3"
"Macrococcus",0.00903565865425849,0.0189455646489102,0.5275,0.102832363337108,"module3"
"Phascolarctobacterium",0.00866377096763805,0.0191625818187078,0.5275,0.102832363337108,"module3"
"Alistipes",0.00864737925272757,0.0166020756062372,0.5275,0.102832363337108,"module3"
"Prevotella_6",0.00812401754842016,0.0234637111421375,0.5275,0.102832363337108,"module3"
"Prevotella_2",0.00793569875029723,0.024390953325224,0.5275,0.102832363337108,"module3"
"unassigned_Ruminococcaceae",0.00699725606486689,0.0183160882938115,0.5275,0.102832363337108,"module3"
"Neisseria",0.00660356892831907,0.0171395769863242,0.5275,0.102832363337108,"module3"
"Buttiauxella",0.00612758895023385,0.0150831987736688,0.5275,0.102832363337108,"module3"
"Ruminiclostridium_5",0.00610742800797866,0.0208330595372906,0.5275,0.102832363337108,"module3"
"Ruminococcaceae_UCG-002",0.0056948408815742,0.0216792542012818,0.5275,0.102832363337108,"module3"
"Intestinibacter",0.00537546553604052,0.0120537521863516,0.5275,0.102832363337108,"module3"
"Butyricicoccus",0.0053543150618489,0.0130329908425566,0.5275,0.102832363337108,"module3"
"Alloprevotella",0.00533675488185111,0.0125444031857921,0.5275,0.102832363337108,"module3"
"unassigned_Muribaculaceae",0.00503093215299904,0.010743607041411,0.5275,0.102832363337108,"module3"
"Leuconostoc",0.0046512799985897,0.00975802700555308,0.5275,0.102832363337108,"module3"
"unassigned_Prevotellaceae",0.00439279474422541,0.0133203077582438,0.5275,0.102832363337108,"module3"
"Paracoccus",0.00414679392619372,0.0122587834657106,0.5275,0.102832363337108,"module3"
"Robinsoniella",0.00404771167777904,0.0127476308658321,0.5275,0.102832363337108,"module3"
"Enterorhabdus",0.00379206961641898,0.00972158554115084,0.5275,0.102832363337108,"module3"
"Mitsuokella",0.00377972498929928,0.0128854955700334,0.5275,0.102832363337108,"module3"
"Ruminococcaceae_UCG-014",0.00376800223204412,0.0105779800762906,0.5275,0.102832363337108,"module3"
"Acetobacter",0.00359257134007252,0.0104966860112301,0.5275,0.102832363337108,"module3"
"Faecalibacterium",0.0035755129019406,0.0108594564867978,0.5275,0.102832363337108,"module3"
"Anoxybacillus",0.00352696560914439,0.0089848456284918,0.5275,0.102832363337108,"module3"
"Anaerostipes",0.00282161525627628,0.00826316641116689,0.5275,0.102832363337108,"module3"
"Ruminococcus_2",0.00256831215345191,0.0073875996061486,0.5275,0.102832363337108,"module3"
"Coprococcus_1",0.00243299529796248,0.00759162593507012,0.5275,0.102832363337108,"module3"
"Paraclostridium",0.0022629312306209,0.00818314384160113,0.5275,0.102832363337108,"module3"
"Fusicatenibacter",0.00200726328739131,0.00619377448620628,0.5275,0.102832363337108,"module3"
"Psychrobacter",0.00186838451232114,0.00477732436231731,0.5275,0.102832363337108,"module3"
"Desulfovibrio",0.00151932318020553,0.00521012691751887,0.5275,0.102832363337108,"module3"
"Lachnospiraceae_UCG-004",0.00147531065129606,0.00435646246443675,0.5275,0.102832363337108,"module3"
"Lachnospiraceae_NK4A136_group",0.00128960663794284,0.00537030870087666,0.5275,0.102832363337108,"module3"
"Subdoligranulum",0.000908045731700682,0.00345927613511584,0.5275,0.102832363337108,"module3"
"Agathobacter",0.000825171749885449,0.0030794349812449,0.5275,0.102832363337108,"module3"
"Asteroleplasma",0.000415062046142322,0.00149215122191528,0.5275,0.102832363337108,"module3"
"Caproiciproducens",0.00039967769329865,0.0014532917968016,0.5275,0.102832363337108,"module3"
"Intestinimonas",0.000370993674373657,0.00138696175779231,0.5275,0.102832363337108,"module3"
"MB1_IgA1",0.297431616099359,0.538307071288662,0.553,0.0979125563289443,"module4"
"MPO_BS5_Concngml1",0.295896942227882,0.527227162765161,0.553,0.0979125563289443,"module4"
"Klebsiella1",0.265328571154458,0.473003938730878,0.553,0.0979125563289443,"module4"
"MB1_IgG1",0.25676523281111,0.457600354202402,0.553,0.0979125563289443,"module4"
"AG_Concugml1",0.2566928127059,0.453064094496498,0.553,0.0979125563289443,"module4"
"A1AT_BS5_Concugml1",0.255261364879181,0.451809808310884,0.553,0.0979125563289443,"module4"
"Staphylococcus1",0.251955341281765,0.445725244842436,0.553,0.0979125563289443,"module4"
"BM1_IgA1",0.250946546944034,0.447777136886332,0.553,0.0979125563289443,"module4"
"A1AT_BS3_Concugml1",0.250158939886526,0.448230211712195,0.553,0.0979125563289443,"module4"
"Veillonella1",0.24561598601359,0.439514617797325,0.553,0.0979125563289443,"module4"
"Bifidobacterium1",0.24324537983451,0.433561485764443,0.553,0.0979125563289443,"module4"
"Streptococcus1",0.24067214369447,0.426543258954319,0.553,0.0979125563289443,"module4"
"Enterococcus1",0.238362030687532,0.433421470096846,0.553,0.0979125563289443,"module4"
"MPO_BS3_Concngml1",0.235684449005798,0.418036499657952,0.553,0.0979125563289443,"module4"
"Escherichia.Shigella",0.233945917566461,0.41562054340835,0.553,0.0979125563289443,"module4"
"CB1_IgG1",0.232152452042937,0.416537091805246,0.553,0.0979125563289443,"module4"
"OPV_IPV1",0.225928667159424,0.419928044758403,0.553,0.0979125563289443,"module4"
"HAZ_6_8w1",0.220896595962567,0.391329805797067,0.553,0.0979125563289443,"module4"
"birth_weight1",0.218258041699159,0.386192343346922,0.553,0.0979125563289443,"module4"
"household_income1",0.206387535108146,0.372475966275203,0.553,0.0979125563289443,"module4"
"Lactobacillus1",0.205679628037378,0.383642639607432,0.553,0.0979125563289443,"module4"
"mother_weight1",0.201026915274425,0.356133455885808,0.553,0.0979125563289443,"module4"
"Rothia1",0.192595421409701,0.349082608651307,0.553,0.0979125563289443,"module4"
"age_mother1",0.18285445223486,0.327118593718098,0.553,0.0979125563289443,"module4"
"maternal_education1",0.182320611020336,0.327818730986019,0.553,0.0979125563289443,"module4"
