"","mean","sd","crossval_median","crossval_q1","crossval_q3","module"
"MPO_BS5_Concngml",0.353923094724098,0.642246588474624,0.5,0.45,0.55,"module4"
"BM1_IgA",0.309951360251053,0.565565869731351,0.5,0.45,0.55,"module4"
"Enterococcus",0.309849225465051,0.566310820076221,0.5,0.45,0.55,"module4"
"Bifidobacterium",0.302550052506182,0.539515132797118,0.5,0.45,0.55,"module4"
"Escherichia.Shigella",0.295952794183408,0.53782135397297,0.5,0.45,0.55,"module4"
"MPO_BS3_Concngml",0.285953130524065,0.505153718505687,0.5,0.45,0.55,"module4"
"A1AT_BS5_Concugml",0.280487635190485,0.517123746200216,0.5,0.45,0.55,"module4"
"MB1_IgG",0.279096071989882,0.499878565204147,0.5,0.45,0.55,"module4"
"Veillonella",0.274178789445124,0.505108822607945,0.5,0.45,0.55,"module4"
"MB1_IgA",0.267003049062381,0.470631036137035,0.5,0.45,0.55,"module4"
"AG_Concugml",0.266092282478771,0.476601825627073,0.5,0.45,0.55,"module4"
"Streptococcus",0.249397539499494,0.441336672193688,0.5,0.45,0.55,"module4"
"mother_weight",0.244159719653365,0.442504096168618,0.5,0.45,0.55,"module4"
"HAZ_6_8w",0.242724487900526,0.428965728931952,0.5,0.45,0.55,"module4"
"Staphylococcus",0.234490174755412,0.420220565341142,0.5,0.45,0.55,"module4"
"Rothia",0.231088778719416,0.415897142091592,0.5,0.45,0.55,"module4"
"A1AT_BS3_Concugml",0.229822371262111,0.410526356991167,0.5,0.45,0.55,"module4"
"Klebsiella",0.229596033585278,0.411139332065032,0.5,0.45,0.55,"module4"
"CB1_IgG",0.227586284444974,0.409903720798419,0.5,0.45,0.55,"module4"
"household_income",0.221033812948848,0.404523720003928,0.5,0.45,0.55,"module4"
"birth_weight",0.208114095409409,0.374928431525519,0.5,0.45,0.55,"module4"
"maternal_education",0.197487988523037,0.363446062475737,0.5,0.45,0.55,"module4"
"OPV_IPV",0.19537119335724,0.388588648174087,0.5,0.45,0.55,"module4"
"Lactobacillus",0.194419673416245,0.348424041196051,0.5,0.45,0.55,"module4"
"age_mother",0.189397787249827,0.343105639911954,0.5,0.45,0.55,"module4"
"Gemella",0.166173906040795,0.301748131881271,0.5,0.45,0.55,"module4"
"Dolosigranulum",0.160147789235318,0.292926890463666,0.5,0.45,0.55,"module4"
"Corynebacterium_1",0.145818878975858,0.260922567643089,0.5,0.45,0.55,"module4"
"Actinomyces",0.135220195116018,0.245176548998893,0.5,0.45,0.55,"module4"
"Bacteroides",0.13375940183201,0.250818309878563,0.5,0.45,0.55,"module4"
"Collinsella",0.133036726593317,0.254910201665521,0.5,0.45,0.55,"module4"
"unassigned_Enterobacteriaceae",0.123623901618737,0.264161118121088,0.5,0.45,0.55,"module4"
"Clostridium_sensu_stricto_1",0.122735409035808,0.240774295325242,0.5,0.45,0.55,"module4"
"Haemophilus",0.121496588496862,0.217999412160757,0.5,0.45,0.55,"module4"
"Prevotella",0.10279598347159,0.227654978716749,0.5,0.45,0.55,"module4"
"Enterobacter",0.0985859283049301,0.178099656230785,0.5,0.45,0.55,"module4"
"unassigned_Lachnospiraceae",0.0947797359924175,0.186521538020901,0.5,0.45,0.55,"module4"
"Megasphaera",0.0934877391963208,0.183684172432537,0.5,0.45,0.55,"module4"
"age_at_first_dose",0.0894758705724928,0.170342286518648,0.5,0.45,0.55,"module4"
"Sutterella",0.0843702831334033,0.162204196183667,0.5,0.45,0.55,"module4"
"parity",0.0826245163245886,0.163513897383108,0.5,0.45,0.55,"module4"
"Anaerococcus",0.0703090018332487,0.133435291555411,0.5,0.45,0.55,"module4"
"Atopobium",0.069830250166169,0.129949826602476,0.5,0.45,0.55,"module4"
"Granulicatella",0.063607760248924,0.116953381109893,0.5,0.45,0.55,"module4"
"Parabacteroides",0.062487245965271,0.137878566344571,0.5,0.45,0.55,"module4"
"Clostridioides",0.0603845221316312,0.113578229656495,0.5,0.45,0.55,"module4"
"unassigned_Saccharimonadales",0.0600081473557188,0.113144849146624,0.5,0.45,0.55,"module4"
"Acinetobacter",0.0583822858580916,0.106670626676973,0.5,0.45,0.55,"module4"
"Peptoniphilus",0.0560465721668865,0.112692787183882,0.5,0.45,0.55,"module4"
"Finegoldia",0.0509076279303747,0.106321061212687,0.5,0.45,0.55,"module4"
"kitchen",0.0507045282139587,0.12762855377616,0.5,0.45,0.55,"module4"
"Negativicoccus",0.0501722142135461,0.0983545208191369,0.5,0.45,0.55,"module4"
"breastfed_child",0.0462727180890679,0.109327150124775,0.5,0.45,0.55,"module4"
"Dialister",0.0458682042507779,0.0993914479873067,0.5,0.45,0.55,"module4"
"Eggerthella",0.0448955640617227,0.0849036602264705,0.5,0.45,0.55,"module4"
"Senegalimassilia",0.0447209271773157,0.0876714920597444,0.5,0.45,0.55,"module4"
"Flavonifractor",0.0434557846016013,0.113496296136549,0.5,0.45,0.55,"module4"
"Salmonella",0.0418030124229978,0.0767678647328678,0.5,0.45,0.55,"module4"
"Libanicoccus",0.0387949724220547,0.0901738627006119,0.5,0.45,0.55,"module4"
"water_treat_wami",0.0378544577234952,0.0733724838630757,0.5,0.45,0.55,"module4"
"Tyzzerella_3",0.0372399927339883,0.0706184822301797,0.5,0.45,0.55,"module4"
"mode_delivery",0.0364158870704274,0.0719234252182556,0.5,0.45,0.55,"module4"
"Citrobacter",0.0355092327934744,0.0680040035468242,0.5,0.45,0.55,"module4"
"refrigerator",0.0352618521844629,0.0755017558555998,0.5,0.45,0.55,"module4"
"Cutibacterium",0.034721606620697,0.0710833448461215,0.5,0.45,0.55,"module4"
"pre_exposed",0.0346897149453536,0.0673784133587299,0.5,0.45,0.55,"module4"
"Prevotella_9",0.0340028406953468,0.0646718135808581,0.5,0.45,0.55,"module4"
"antibiotic_exposure",0.0334052984323738,0.0710156071426631,0.5,0.45,0.55,"module4"
"sex_baby",0.0324315853207523,0.0617598374238406,0.5,0.45,0.55,"module4"
"Olsenella",0.0314825064122465,0.0753064976148051,0.5,0.45,0.55,"module4"
"sanitation",0.0298579077815165,0.0614357989604422,0.5,0.45,0.55,"module4"
"place_delivery",0.0292524628615112,0.0582841298237212,0.5,0.45,0.55,"module4"
"type_house",0.0280944944531315,0.0584859382453329,0.5,0.45,0.55,"module4"
"crowding_wami",0.0279283791551856,0.0532543439770092,0.5,0.45,0.55,"module4"
"Erysipelatoclostridium",0.0260324225015132,0.0613655478413433,0.5,0.45,0.55,"module4"
"Lachnoclostridium",0.0222842438860141,0.0428377964175003,0.5,0.45,0.55,"module4"
"Holdemanella",0.0220915785248469,0.0541979523506525,0.5,0.45,0.55,"module4"
"Megamonas",0.0210633101388771,0.0597656434293611,0.5,0.45,0.55,"module4"
"Ezakiella",0.020398483224558,0.0469234750042744,0.5,0.45,0.55,"module4"
"Cronobacter",0.0201356705861836,0.0433598726899437,0.5,0.45,0.55,"module4"
"Catenibacterium",0.0199256246479329,0.0503191054894723,0.5,0.45,0.55,"module4"
"Slackia",0.0187596505100582,0.0420156614368943,0.5,0.45,0.55,"module4"
"Varibaculum",0.0180145643208549,0.0360082250462103,0.5,0.45,0.55,"module4"
"Blautia",0.0161087975668246,0.0309999263115294,0.5,0.45,0.55,"module4"
"Raoultella",0.00968457182347089,0.021126359201358,0.5,0.45,0.55,"module4"
"AG_Concugml1",0.254846709283194,0.467921982304279,0.466666666666667,0.4,0.5625,"module4_exposed"
"BM1_IgA1",0.253534116149932,0.456940166313548,0.466666666666667,0.4,0.5625,"module4_exposed"
"mother_weight1",0.239698238140737,0.425931943191586,0.466666666666667,0.4,0.5625,"module4_exposed"
"MB1_IgA1",0.229406398507082,0.412215181033184,0.466666666666667,0.4,0.5625,"module4_exposed"
"MB1_IgG1",0.225555722265284,0.407564412719819,0.466666666666667,0.4,0.5625,"module4_exposed"
"Escherichia.Shigella1",0.216613911754627,0.395697635648213,0.466666666666667,0.4,0.5625,"module4_exposed"
"age_mother1",0.216198710737683,0.406575290827777,0.466666666666667,0.4,0.5625,"module4_exposed"
"MPO_BS5_Concngml1",0.210066938098059,0.377222101221011,0.466666666666667,0.4,0.5625,"module4_exposed"
"Actinomyces1",0.202787269142752,0.384654477109247,0.466666666666667,0.4,0.5625,"module4_exposed"
"Streptococcus1",0.202773464105445,0.365560535529693,0.466666666666667,0.4,0.5625,"module4_exposed"
"A1AT_BS5_Concugml1",0.197492746002534,0.351609497821838,0.466666666666667,0.4,0.5625,"module4_exposed"
"Bifidobacterium1",0.19597683074734,0.351268337294898,0.466666666666667,0.4,0.5625,"module4_exposed"
"A1AT_BS3_Concugml1",0.192778480384985,0.351286120029184,0.466666666666667,0.4,0.5625,"module4_exposed"
"Staphylococcus1",0.191005228982231,0.350487309074668,0.466666666666667,0.4,0.5625,"module4_exposed"
"MPO_BS3_Concngml1",0.184382012093935,0.327176723221332,0.466666666666667,0.4,0.5625,"module4_exposed"
"Veillonella1",0.182880944245782,0.326702459242495,0.466666666666667,0.4,0.5625,"module4_exposed"
"CB1_IgG1",0.175897510165855,0.319201030783641,0.466666666666667,0.4,0.5625,"module4_exposed"
"Klebsiella1",0.175090071783361,0.313719210954767,0.466666666666667,0.4,0.5625,"module4_exposed"
"Corynebacterium_11",0.172217456528327,0.323277921424854,0.466666666666667,0.4,0.5625,"module4_exposed"
"Rothia1",0.164967421585766,0.292459181637508,0.466666666666667,0.4,0.5625,"module4_exposed"
"Enterococcus1",0.164374129601505,0.296554291922428,0.466666666666667,0.4,0.5625,"module4_exposed"
"HAZ_6_8w1",0.154687212602392,0.275231432936552,0.466666666666667,0.4,0.5625,"module4_exposed"
"household_income1",0.152005941130166,0.27098372656493,0.466666666666667,0.4,0.5625,"module4_exposed"
"Lactobacillus1",0.148007665864489,0.275953243112389,0.466666666666667,0.4,0.5625,"module4_exposed"
"maternal_education1",0.141469240477333,0.254739769596383,0.466666666666667,0.4,0.5625,"module4_exposed"
"birth_weight1",0.131840892496512,0.23436356828885,0.466666666666667,0.4,0.5625,"module4_exposed"
"Dolosigranulum1",0.131333037186626,0.245545907339423,0.466666666666667,0.4,0.5625,"module4_exposed"
"Gemella1",0.124784478767333,0.235687261026894,0.466666666666667,0.4,0.5625,"module4_exposed"
"OPV_IPV1",0.116475824123928,0.218332536922123,0.466666666666667,0.4,0.5625,"module4_exposed"
"Enterobacter1",0.088458606242272,0.165614346087338,0.466666666666667,0.4,0.5625,"module4_exposed"
"Haemophilus1",0.0815981988049597,0.155257595352639,0.466666666666667,0.4,0.5625,"module4_exposed"
"Clostridium_sensu_stricto_11",0.0799221056752722,0.16399884945768,0.466666666666667,0.4,0.5625,"module4_exposed"
"Sutterella1",0.0776885241186973,0.161092360196661,0.466666666666667,0.4,0.5625,"module4_exposed"
"Bacteroides1",0.0750943245941566,0.138393050888914,0.466666666666667,0.4,0.5625,"module4_exposed"
"Prevotella1",0.0714802276452571,0.144044527290767,0.466666666666667,0.4,0.5625,"module4_exposed"
"sex_baby1",0.0680975712793439,0.154106957748989,0.466666666666667,0.4,0.5625,"module4_exposed"
"Atopobium1",0.0648273861303871,0.121831155301493,0.466666666666667,0.4,0.5625,"module4_exposed"
"Megasphaera1",0.0645748177332549,0.123151458206753,0.466666666666667,0.4,0.5625,"module4_exposed"
"Collinsella1",0.061804815935122,0.114260298375826,0.466666666666667,0.4,0.5625,"module4_exposed"
"unassigned_Lachnospiraceae1",0.0610701772470949,0.111453185729556,0.466666666666667,0.4,0.5625,"module4_exposed"
"Granulicatella1",0.0605818781634518,0.118828116580282,0.466666666666667,0.4,0.5625,"module4_exposed"
"parity1",0.0605397844985914,0.11281241042446,0.466666666666667,0.4,0.5625,"module4_exposed"
"unassigned_Enterobacteriaceae1",0.0599173632692399,0.125437087851021,0.466666666666667,0.4,0.5625,"module4_exposed"
"place_delivery1",0.059728681092937,0.125516178300832,0.466666666666667,0.4,0.5625,"module4_exposed"
"Clostridioides1",0.0577619627852449,0.105306405920557,0.466666666666667,0.4,0.5625,"module4_exposed"
"Anaerococcus1",0.0518403168079847,0.0986254678005094,0.466666666666667,0.4,0.5625,"module4_exposed"
"Acinetobacter1",0.0507019547195297,0.0989704853888231,0.466666666666667,0.4,0.5625,"module4_exposed"
"Eggerthella1",0.0488518557733407,0.0987922386346634,0.466666666666667,0.4,0.5625,"module4_exposed"
"age_at_first_dose1",0.0488056722100782,0.0921608987576741,0.466666666666667,0.4,0.5625,"module4_exposed"
"Finegoldia1",0.0430468937291411,0.083387500090947,0.466666666666667,0.4,0.5625,"module4_exposed"
"water_treat_wami1",0.0413509701002741,0.0947036350409732,0.466666666666667,0.4,0.5625,"module4_exposed"
"Dialister1",0.0381533782195922,0.0786852102651145,0.466666666666667,0.4,0.5625,"module4_exposed"
"mode_delivery1",0.038065200623488,0.0785138236285116,0.466666666666667,0.4,0.5625,"module4_exposed"
"unassigned_Saccharimonadales1",0.0356703676122859,0.0686965745396556,0.466666666666667,0.4,0.5625,"module4_exposed"
"Parabacteroides1",0.0355208943631377,0.0678909936833137,0.466666666666667,0.4,0.5625,"module4_exposed"
"Tyzzerella_31",0.0354337353150259,0.0692168688210773,0.466666666666667,0.4,0.5625,"module4_exposed"
"breastfed_child1",0.0334232250019962,0.0783492601728553,0.466666666666667,0.4,0.5625,"module4_exposed"
"Senegalimassilia1",0.0305383351451733,0.0569516225107751,0.466666666666667,0.4,0.5625,"module4_exposed"
"Salmonella1",0.0303942505289735,0.0572075656764992,0.466666666666667,0.4,0.5625,"module4_exposed"
"Peptoniphilus1",0.0286992048332199,0.0543455554470488,0.466666666666667,0.4,0.5625,"module4_exposed"
"Negativicoccus1",0.0278610666132547,0.0520543128264058,0.466666666666667,0.4,0.5625,"module4_exposed"
"refrigerator1",0.0253345946649587,0.0588185382104777,0.466666666666667,0.4,0.5625,"module4_exposed"
"Prevotella_91",0.0248405412546253,0.046666315952497,0.466666666666667,0.4,0.5625,"module4_exposed"
"Ezakiella1",0.0244590351690801,0.0535415718943685,0.466666666666667,0.4,0.5625,"module4_exposed"
"crowding_wami1",0.0238224873162262,0.047888268983779,0.466666666666667,0.4,0.5625,"module4_exposed"
"kitchen1",0.021957318821392,0.0443896500941994,0.466666666666667,0.4,0.5625,"module4_exposed"
"Olsenella1",0.0214264926135472,0.0492788319002898,0.466666666666667,0.4,0.5625,"module4_exposed"
"Megamonas1",0.0213552081494154,0.0489418010928466,0.466666666666667,0.4,0.5625,"module4_exposed"
"antibiotic_exposure1",0.0211765470579899,0.0409992319775691,0.466666666666667,0.4,0.5625,"module4_exposed"
"sanitation1",0.0194070315237223,0.0390918306052396,0.466666666666667,0.4,0.5625,"module4_exposed"
"Citrobacter1",0.0181930712754406,0.0366617320925702,0.466666666666667,0.4,0.5625,"module4_exposed"
"Blautia1",0.0178995124015403,0.0346049491782534,0.466666666666667,0.4,0.5625,"module4_exposed"
"type_house1",0.0177801473591975,0.0341211081800456,0.466666666666667,0.4,0.5625,"module4_exposed"
"Erysipelatoclostridium1",0.0169485552753092,0.0344617288148626,0.466666666666667,0.4,0.5625,"module4_exposed"
"Lachnoclostridium1",0.0159826457157008,0.0314872464926173,0.466666666666667,0.4,0.5625,"module4_exposed"
"Libanicoccus1",0.0156440563795387,0.0340606591592766,0.466666666666667,0.4,0.5625,"module4_exposed"
"Flavonifractor1",0.0151243035325044,0.0304572386239357,0.466666666666667,0.4,0.5625,"module4_exposed"
"Cutibacterium1",0.0150234062883682,0.029739617263972,0.466666666666667,0.4,0.5625,"module4_exposed"
"Catenibacterium1",0.0129009175387568,0.0317214935876201,0.466666666666667,0.4,0.5625,"module4_exposed"
"Varibaculum1",0.0124159607962349,0.025056284796031,0.466666666666667,0.4,0.5625,"module4_exposed"
"Raoultella1",0.0114396162187735,0.0255621737311062,0.466666666666667,0.4,0.5625,"module4_exposed"
"Cronobacter1",0.0113831816884599,0.024370300608047,0.466666666666667,0.4,0.5625,"module4_exposed"
"Holdemanella1",0.0100408400863016,0.0232357717025947,0.466666666666667,0.4,0.5625,"module4_exposed"
"Slackia1",0.00734720467084244,0.0158579585943264,0.466666666666667,0.4,0.5625,"module4_exposed"
"pre_exposed1",0,0,0.466666666666667,0.4,0.5625,"module4_exposed"
"MPO_BS5_Concngml2",0.211970346910147,0.383775523907349,0.5,0.363636363636364,0.6,"module4_unexposed"
"Enterococcus2",0.205166320106699,0.408634784093984,0.5,0.363636363636364,0.6,"module4_unexposed"
"household_income2",0.181107668024835,0.328333645340991,0.5,0.363636363636364,0.6,"module4_unexposed"
"birth_weight2",0.178442597136777,0.321225902335957,0.5,0.363636363636364,0.6,"module4_unexposed"
"MPO_BS3_Concngml2",0.170722655640262,0.30969734789081,0.5,0.363636363636364,0.6,"module4_unexposed"
"Escherichia.Shigella2",0.154302719786613,0.284376986968738,0.5,0.363636363636364,0.6,"module4_unexposed"
"A1AT_BS5_Concugml2",0.151948024279259,0.282312785621374,0.5,0.363636363636364,0.6,"module4_unexposed"
"MB1_IgA2",0.150493333421282,0.277082554990915,0.5,0.363636363636364,0.6,"module4_unexposed"
"HAZ_6_8w2",0.144081420717554,0.264770389309609,0.5,0.363636363636364,0.6,"module4_unexposed"
"Bifidobacterium2",0.133709023193939,0.238860980975438,0.5,0.363636363636364,0.6,"module4_unexposed"
"AG_Concugml2",0.131367479012343,0.236717430654387,0.5,0.363636363636364,0.6,"module4_unexposed"
"Streptococcus2",0.128481483460896,0.23455358813672,0.5,0.363636363636364,0.6,"module4_unexposed"
"A1AT_BS3_Concugml2",0.125537951674812,0.227965042402757,0.5,0.363636363636364,0.6,"module4_unexposed"
"BM1_IgA2",0.125330904897338,0.233234628886863,0.5,0.363636363636364,0.6,"module4_unexposed"
"MB1_IgG2",0.122133637840958,0.230245391618142,0.5,0.363636363636364,0.6,"module4_unexposed"
"Staphylococcus2",0.120715825533994,0.227060842582446,0.5,0.363636363636364,0.6,"module4_unexposed"
"Veillonella2",0.118233258008342,0.212340279679616,0.5,0.363636363636364,0.6,"module4_unexposed"
"mother_weight2",0.115263706109574,0.210730256308335,0.5,0.363636363636364,0.6,"module4_unexposed"
"Klebsiella2",0.111460085428394,0.20253300517697,0.5,0.363636363636364,0.6,"module4_unexposed"
"Rothia2",0.111288832464188,0.208911997386778,0.5,0.363636363636364,0.6,"module4_unexposed"
"CB1_IgG2",0.107566465859613,0.200613624176717,0.5,0.363636363636364,0.6,"module4_unexposed"
"Lactobacillus2",0.10201920044513,0.184380466233477,0.5,0.363636363636364,0.6,"module4_unexposed"
"maternal_education2",0.100439984846876,0.184586970585705,0.5,0.363636363636364,0.6,"module4_unexposed"
"Corynebacterium_12",0.0985160199082421,0.191340771957424,0.5,0.363636363636364,0.6,"module4_unexposed"
